filename,created_at,taxon,taxon_original,method,habit,root_system,height_min,height_low,height_high,height_max,height_unit,inflorescence_type,inflorescence_shape,inflorescence_length_min,inflorescence_length_low,inflorescence_length_high,inflorescence_length_max,inflorescence_length_unit,inflorescence_width_min,inflorescence_width_low,inflorescence_width_high,inflorescence_width_max,inflorescence_width_unit,inflorescence_peduncle_length_min,inflorescence_peduncle_length_low,inflorescence_peduncle_length_high,inflorescence_peduncle_length_max,inflorescence_peduncle_length_unit,flower_merosity,pedicel_length_min,pedicel_length_low,pedicel_length_high,pedicel_length_max,pedicel_length_unit,pedicel_width_min,pedicel_width_low,pedicel_width_high,pedicel_width_max,pedicel_width_unit,bisexual_flowers_presence,male_flowers_presence,heteromorphic_flower_presence,sterile_flower_presence,calyx_shape,calyx_length_min,calyx_length_low,calyx_length_high,calyx_length_max,calyx_length_unit,calyx_lobe_length_min,calyx_lobe_length_low,calyx_lobe_length_high,calyx_lobe_length_max,calyx_lobe_length_unit.,corolla_length_min,corolla_length_low,corolla_length_high,corolla_length_max,corolla_length_unit,corolla_lobe_length_min,corolla_lobe_length_low,corolla_lobe_length_high,corolla_lobe_length_max,corolla_lobe_length_unit,corolla_lobe_width_min,corolla_lobe_width_low,corolla_lobe_width_high,corolla_lobe_width_max,corolla_lobe_width_unit,stamen_count,filament_length_min,filament_length_low,filament_length_high,filament_length_max,filament_length_unit,filament_color,anther_gland_presence,stemonozone_presence,stamen_tube_presence,staminal_tube_presence,intrastaminal_nectary_presence,nectary_presence,obs
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0011.txt,2025-10-02T16:48:29.521104,Calliandra_laxa_laxa,Calliandra laxa var. laxa,automatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,3.5,NA,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0012.txt,2025-10-02T16:49:05.870804,Calliandra_laxa_stipulacea,Calliandra laxa var. stipulacea,automatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,6.5,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0013.txt,2025-10-02T16:49:44.630093,Calliandra_laxa_urimana,Calliandra laxa var. urimana,automatic,NA,NA,NA,370,400,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,4,NA,cm,NA,2.5,NA,4,NA,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0014.txt,2025-10-02T16:50:23.368260,Calliandra_rubescens,Calliandra rubescens,automatic,shrub,NA,0.5,0.5,4.5,5.5,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,3.5,4,cm,5,0.35,0.35,0.6,0.6,mm,0.55,0.55,1.2,1.2,mm,NA,NA,yes,NA,NA,1.5,1.7,3.4,3.6,mm,0.1,0.5,0.8,NA,mm,4.5,5.4,8.7,NA,mm,NA,NA,NA,NA,mm,NA,NA,NA,NA,NA,NA,NA,22,32,NA,mm,pallid,NA,present,present,present,present,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0015.txt,2025-10-02T16:51:02.209893,Calliandra_belizensis,Calliandra belizensis,automatic,arborescent shrubs,NA,NA,2,9,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deeply campanulateellipsoid,4.5,4.5,7.2,7.2,mm,NA,NA,NA,NA,NA,NA,9,13,NA,mm,NA,2,3.2,NA,mm,NA,NA,NA,NA,NA,NA,NA,4,4.8,NA,cm,white,NA,present,NA,NA,absent,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0016.txt,2025-10-02T16:51:40.433954,Calliandra_goldmanii,Calliandra goldmanii,automatic,trees,NA,NA,NA,NA,NA,NA,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,28,28,mm,4 (5)-merous,NA,NA,0.4,NA,mm,NA,NA,0.8,NA,mm,NA,NA,present,NA,NA,3.2,NA,5,NA,mm,NA,NA,NA,NA,NA,3,NA,9.5,NA,mm,2,NA,3,NA,mm,NA,NA,NA,NA,NA,NA,NA,3.6,4,NA,cm,"white in lower half, the tassel deep pink or carmine",NA,present,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0017.txt,2025-10-02T16:52:18.345135,Calliandra_bijuga,Calliandra bijuga,automatic,NA,NA,NA,4,5,NA,m,capitula,NA,1.6,NA,4.3,NA,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,NA,campanulate,1,1.3,2.6,NA,mm,0.15,NA,0.3,NA,mm,5.5,NA,7,NA,mm,1.1,NA,2,NA,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deep crimson-red throughout, or distally pink",NA,present,NA,NA,present,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0018.txt,2025-10-02T16:52:56.087740,Calliandra_molinae,Calliandra molinae,automatic,arborescent shrubs,NA,0.5,2,6,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,mm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,campanulate,3.4,3.4,4.1,4.1,mm,0.6,0.6,1.2,1.2,mm,NA,7,NA,NA,mm,NA,1.6,2.7,NA,mm,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,mm,"pallid proximally, pink distally",NA,present,NA,NA,present,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0019.txt,2025-10-02T16:53:34.767186,Calliandra_hirsuta,Calliandra hirsuta,automatic,Shrubs,NA,1,2,12,20,dm,capitula,umbelliform,1,NA,4.5,6,cm,NA,NA,NA,NA,NA,1,NA,4.5,6,cm,NA,0.2,0.2,1.2,NA,mm,0.3,0.3,0.9,0.9,mm,NA,NA,homomorphic,NA,"campanulate, deeply campanulate, turbinate-campanulate or hemispherical",1.3,1.3,2.6,3.2,mm,1,1.3,3.2,4,mm,NA,6,9,9.8,mm,1,1.3,3.2,4,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,red,NA,present,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0020.txt,2025-10-02T16:54:12.371072,Calliandra_peninsularis,Calliandra peninsularis,automatic,shrubs,NA,NA,NA,2,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mm,5,0.5,0.5,0.7,NA,mm,0.3,0.3,0.4,NA,mm,yes,NA,no,NA,campanulate,1.6,1.6,2,2,mm,0.25,0.25,0.35,0.35,mm,6.6,6.6,8,8,mm,NA,1.4,1.4,NA,mm,NA,0.9,0.9,NA,mm,NA,NA,17.5,23,NA,mm,red,NA,present,NA,NA,present,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0021.txt,2025-10-02T16:54:49.655077,Calliandra_sesquipedalis,Calliandra sesquipedalis,automatic,shrubfet,NA,NA,3,6,NA,dm,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2.5,NA,4,NA,mm,0.5,NA,NA,NA,mm,NA,NA,homomorphic,NA,shallowly campanulate,NA,1.2,1.7,NA,mm,NA,0.6,0.6,NA,mm,NA,4.5,4.5,NA,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,cm,red-pink,NA,present,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0022.txt,2025-10-02T16:55:29.206627,Calliandra_californica,Calliandra californica,automatic,shrubs,NA,0.5,0.8,2,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,17,20,mm,5,0.15,NA,0.6,0.8,mm,0.3,NA,0.6,NA,mm,NA,some staminate only,homomorphic,NA,campanulate or hemispherical,1,1.2,1.7,NA,mm,NA,NA,NA,NA,NA,5.5,5.8,7.2,NA,mm,1.6,1.8,2.4,NA,mm,NA,NA,NA,NA,NA,17(30),NA,NA,NA,NA,NA,red-crimson,NA,present,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0023.txt,2025-10-02T16:56:08.518786,Calliandra_eriophylla,Calliandra eriophylla,automatic,shrubs,NA,1.5,NA,6,NA,dm,capitula,NA,NA,3,16,24,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,0,0.7,NA,mm,NA,NA,NA,NA,NA,NA,NA,the fls homomorphic,NA,shallowly campanulate or patelliform,0.6,0.6,2.1,2.4,mm,0.3,0.3,0.6,0.6,mm,2.4,3.4,5.5,NA,mm,1.5,1.8,2.4,2.8,mm,NA,NA,NA,NA,NA,NA,13,16,24,27,mm,pink or crimson,NA,present,NA,NA,present,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0024.txt,2025-10-02T16:56:44.897124,Calliandra_eriophylla_eriophylla,Calliandra eriophylla var. eriophyila,automatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0025.txt,2025-10-02T16:57:20.639543,Calliandra_eriophylla_chamaedrys,Calliandra eriophylla var. chamaedrys,automatic,NA,NA,NA,NA,NA,NA,NA,capitulatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0026.txt,2025-10-02T16:57:57.682358,Calliandra_humilis,Calliandra humilis,automatic,subskrubs,woody root and superficial or shallowly subterranean rhizomatous caudex,NA,NA,NA,NA,dm,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,32,40,mm,4(-5)-merous,NA,NA,1,2.5,mm,NA,NA,NA,NA,NA,NA,NA,homomorphic,NA,campanulate,NA,NA,NA,NA,mm,NA,0.3,0.7,NA,mm,4.4,4.8,6.4,7.5,mm,NA,0.7,1.3,NA,mm,NA,NA,NA,NA,NA,NA,10,11,15,28,mm,pink or white,NA,present,NA,NA,present,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0027.txt,2025-10-02T16:58:35.202676,Calliandra_humilis_humilis,Calliandra humilis var. humilis,automatic,NA,NA,950,1200,2250,2400,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pink,NA,NA,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0028.txt,2025-10-02T16:59:11.700435,Calliandra_humilis_gentryana,Calliandra humilis var. gentryana,automatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0029.txt,2025-10-02T16:59:49.166997,Calliandra_humilis_reticulata,Calliandra humilis var. reticulata,automatic,NA,NA,NA,NA,1,NA,dm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0030.txt,2025-10-02T17:00:28.048289,Calliandra_tumbeziana,Calliandra tumbeziana,automatic,shrubs,NA,NA,NA,3,NA,m,capitula,hemispherical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,4,NA,cm,NA,NA,NA,0.3,NA,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,narrowly campanulate,2.2,2.2,2.4,2.4,mm,NA,NA,0.4,NA,mm,NA,8,NA,NA,mm,NA,1,NA,NA,mm,NA,NA,NA,NA,NA,NA,NA,21,23,NA,mm,white,NA,present,present,NA,no,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0031.txt,2025-10-02T17:01:08.648390,Calliandra_taxifolia,Calliandra taxifolia,automatic,"diffuse shrubs and bushy, even subarborescent shrubs",NA,2,3,18,NA,dm,capitula,umbelliform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,22,NA,mm,19(32)-merous,0.2,0.2,1.2,1.2,mm,0.3,0.3,0.8,0.8,mm,NA,NA,yes,NA,shallow-campanulate,NA,NA,1,1.4,mm,NA,0.3,0.5,NA,mm,4.5,5,9.5,11,mm,NA,0.5,2.8,NA,mm,NA,NA,NA,NA,NA,19,14.5,16,25,NA,mm,crimson,NA,present,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0032.txt,2025-10-02T17:01:48.393333,Calliandra_parvifolia,Calliandra parvifolia,automatic,arborescent shrubs or subshrubs,NA,0.5,1,4,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cm,NA,0.4,0.7,4,4.5,mm,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,vase-shaped,1.8,1.8,2.6,3,mm,NA,NA,NA,NA,NA,4.2,4.2,7,7,mm,1.1,1.1,1.6,1.6,mm,NA,NA,NA,NA,NA,NA,19,21,50,54,mm,"white or pallid in lower half, carmine distally, the color deepening with age",NA,NA,NA,NA,present,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0033.txt,2025-10-02T17:02:27.452525,Calliandra_foliolosa,Calliandra foliolosa,automatic,shrubs,NA,NA,NA,NA,NA,NA,capitula,umbelliform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,5.5,NA,cm,NA,NA,NA,NA,NA,mm,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,4.5,4.5,7,7,mm,1.6,1.6,3.5,3.5,mm,7.5,8,11,13.5,mm,NA,2.2,3.5,NA,mm,NA,NA,NA,NA,NA,NA,43,43,55,55,mm,"white or pale pink proximally, pink or crimson distally",NA,present,NA,NA,present,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0034.txt,2025-10-02T17:03:05.996138,Calliandra_tweediei,Calliandra tweedii,automatic,Arborescent shrubs and treelets,NA,1,1,3,5,m,capitula,umbelliform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,cm,NA,0.5,NA,4,NA,mm,NA,NA,NA,NA,NA,NA,NA,yes,NA,turbinate,NA,NA,NA,NA,mm,1.3,1.5,3,NA,mm,5,6,9,9.5,mm,1.6,NA,3,3.6,mm,NA,NA,NA,NA,NA,NA,NA,32,48,NA,mm,red,NA,present,NA,NA,NA,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0035.txt,2025-10-02T17:03:44.737853,Calliandra_bella,Calliandra bella,automatic,arborescent shrubs,NA,NA,2,6,NA,m,capituliform racemes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,7.5,NA,cm,NA,0.7,0.7,2.4,NA,mm,0.6,0.6,1.5,NA,mm,NA,NA,yes,NA,campanulate,2,2,4.3,4.3,mm,0.4,0.4,1,1,mm,NA,7,9,NA,mm,NA,2.8,3.7,NA,mm,NA,NA,NA,NA,NA,NA,NA,3.5,5.8,NA,cm,white,NA,present,NA,NA,absent,,
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0036.txt,2025-10-02T17:04:25.773065,Calliandra_subspicata,Calliandra subspicata,automatic,shrubs,NA,NA,1,2,NA,m,capitula,ellipsoid,5,NA,9,NA,mm,NA,NA,NA,NA,NA,NA,12,21,NA,mm,5,0.8,0.8,1.8,1.8,mm,0.4,0.4,1.1,1.1,mm,NA,NA,NA,NA,NA,2.4,2.4,4,4,mm,0.3,0.6,1.2,NA,mm,NA,6.8,10,NA,mm,NA,2.2,4,NA,mm,NA,NA,NA,NA,NA,24,NA,3.8,7,NA,cm,white,NA,present,NA,present,NA,,
