filename,created_at,taxon,taxon_original,Check,habit,root_system,height_min,height_low,height_high,height_max,height_unit,inflorescence_type,inflorescence_shape,inflorescence_length_min,inflorescence_length_low,inflorescence_length_high,inflorescence_length_max,inflorescence_length_unit,inflorescence_width_min,inflorescence_width_low,inflorescence_width_high,inflorescence_width_max,inflorescence_width_unit,inflorescence_peduncle_length_min,inflorescence_peduncle_length_low,inflorescence_peduncle_length_high,inflorescence_peduncle_length_max,inflorescence_peduncle_length_unit,flower_merosity,pedicel_length_min,pedicel_length_low,pedicel_length_high,pedicel_length_max,pedicel_length_unit,pedicel_width_min,pedicel_width_low,pedicel_width_high,pedicel_width_max,pedicel_width_unit,bisexual_flowers_presence,male_flowers_presence,heteromorphic_flower_presence,sterile_flower_presence,calyx_shape,calyx_length_min,calyx_length_low,calyx_length_high,calyx_length_max,calyx_length_unit,calyx_lobe_length_min,calyx_lobe_length_low,calyx_lobe_length_high,calyx_lobe_length_max,calyx_lobe_length_unit.,corolla_length_min,corolla_length_low,corolla_length_high,corolla_length_max,corolla_length_unit,corolla_lobe_length_min,corolla_lobe_length_low,corolla_lobe_length_high,corolla_lobe_length_max,corolla_lobe_length_unit,corolla_lobe_width_min,corolla_lobe_width_low,corolla_lobe_width_high,corolla_lobe_width_max,corolla_lobe_width_unit,stamen_count,filament_length_min,filament_length_low,filament_length_high,filament_length_max,filament_length_unit,filament_color,anther_gland_presence,stemonozone_presence,stamen_tube_presence,staminal_tube_presence,intrastaminal_nectary_presence,nectary_presence,clade
"Du Puy, D.J., Labat, N.-N., Rabevohitra, R., Villiers, J.-F., Bosser, J. & Moat, J. (2002). The Leguminosae of Madagascar: 1-737. Royal Botanic Gardens, Kew. https://www.dropbox.com/scl/fi/7mex6eu31wfg3j3my249g/duPuy_etal-2002-Albizia.pdf?rlkey=6gog1zx83cotv2oef09ig44n0&e=1&dl=3",,Albizia_commiphoroides,Albizia commiphoroides,1,shrub or treelet,,NA,5,NA,NA,m,head,,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,12,NA,mm,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,Central flower male,,,obconical,NA,1,1.5,NA,mm,NA,NA,,NA,,NA,5,7,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,17,24,NA,mm,white,no,,,,,,Albizia clade
,,Albizia_gummifera,Albizia gummifera,1,tree,,NA,25,30,NA,m,head,,,NA,NA,NA,,NA,NA,NA,NA,,NA,2.5,5,NA,cm,5,NA,0.25,0.75,1,mm,NA,NA,NA,NA,,,,,,,NA,2.5,5,NA,mm,NA,NA,,NA,,NA,6.5,12,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,26.5,32.5,NA,mm,"white, crimson",no,,,,,,Albizia clade
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0152.txt,2025-10-02T20:15:33.608199,Albizia_julibrissin,Albizia julibrissin,1,trees,NA,NA,6,12,NA,m,pseudoraceme of capitula,NA,3,NA,9,NA,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,mm,NA,NA,NA,NA,NA,bisexual,staminate,dimorphic,NA,campanulate or deeply campannlate,2.2,2.2,4.2,4.5,mm,NA,0.3,0.7,NA,mm,7,7,11,11,mm,NA,1.3,2.6,NA,mm,NA,0.9,1.2,NA,mm,NA,24,24,38,38,mm,pink or pinkish orange,NA,the stemonozone 1 mm or less,the filament-tube far-exserted,NA,NA,,
"Nielsen, I. C. (1992). Mimosaceae (Leguminosae-Mimosoideae). Flora Malesiana - Series 1, Spermatophyta, 11(1), 1–226.",,Albizia_kostermansii,Albizia kostermansii,1,tree,,30,NA,NA,NA,m,pedunculate glomerules,"pedunculate glomerules aggregated into terminal, shortly, tomentose panicles",,NA,NA,NA,,NA,NA,NA,NA,,10,15,17,25,mm,5,NA,NA,NA,NA,,NA,NA,NA,NA,,yes,,dimorphic,,,NA,1.8,2,NA,mm,NA,0.1,0.2,NA,mm,NA,5.5,6.2,NA,mm,NA,1.5,2,NA,mm,NA,NA,NA,NA,,numerous,NA,15,NA,NA,mm,,Glandular,,,,,,
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0153.txt,2025-10-02T20:16:10.632952,Albizia_procera,Albizia procera,1,tree,NA,NA,2,4,25,m,capitula,subglobose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,19,NA,mm,5-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,homomorphic,NA,deeply campanulate,2.6,2.6,3.3,3.3,mm,0.2,0.2,0.6,0.6,mm,NA,5.5,6.7,NA,mm,NA,1.2,2.2,NA,mm,NA,NA,NA,NA,NA,30-40,9,9,11,11,mm,whitish,NA,present,NA,present,NA,,Albizia clade
"Du Puy, D.J., Labat, N.-N., Rabevohitra, R., Villiers, J.-F., Bosser, J. & Moat, J. (2002). The Leguminosae of Madagascar: 1-737. Royal Botanic Gardens, Kew.",,Albizia_tulearensis,Albizia tulearensis,1,tree,,NA,NA,15,NA,m,heads,,,NA,NA,NA,,NA,NA,NA,NA,,NA,0.9,3.5,NA,cm,5,NA,2,3,NA,mm,NA,NA,NA,NA,,bisexual,,,,,NA,1.75,2,NA,mm,NA,NA,,NA,,NA,5.5,6.5,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,11,15,NA,mm,White to cream,no,,,,Disk adnate to the stamina tube,,Albizia clade
"Altschul, S., 1964. A taxonomic study of the genus Anadenanthera. Contributions from the Gray Herbarium of Harvard University, (193), pp.3-65.",,Anadenanthera_peregrina,Anadenanthera peregrina,1,tree,,NA,3,27,NA,m,capitate,,,NA,NA,NA,,NA,10,18,NA,,NA,15,40,NA,,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,0.5,3,NA,,NA,NA,,NA,,NA,2,3.5,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,10,NA,5,8,NA,,"off-white, golden red",no,,,,,,Parkia clade
"Nielsen, I., Baretta–Kuipers, T. and Guinet, P. (1984), The genus Archidendron (Leguminosae – Mimosoideae). Nordic Journal of Botany, 4: 770-770. https://doi.org/10.1111/j.1756-1051.1984.tb02008.x",NA,Archidendron_chevalieri,Archidendron chevalieri,1,tree,,NA,NA,3.5,NA,m,"panicled, pedunculate","terminal or axillary, narrow panicled, peduncle",,NA,NA,NA,,NA,NA,NA,NA,,NA,11,20,NA,mm,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,2.5,3,NA,mm,NA,NA,,NA,,NA,5,NA,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,46,NA,15,NA,NA,mm,,,,,,,,Archidendron clade
"Nielsen, I. C. (1992). Mimosaceae (Leguminosae-Mimosoideae). Flora Malesiana - Series 1, Spermatophyta, 11(1), 1–226.",NA,Archidendron_ellipticum,Archidendron ellipticum,1,tree,,NA,9,20,NA,m,pedunculate glomerules,aggregated into panicles,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,5,NA,NA,NA,NA,,NA,NA,NA,NA,,yes,,,,,NA,1.5,2,4,mm,NA,0.5,1,NA,mm,NA,4.5,5,9,mm,NA,2,2.5,4,mm,NA,NA,NA,NA,,,6,NA,NA,NA,mm,white,,,yes,,,,Archidendron clade
"Nielsen, I. C. (1992). Mimosaceae (Leguminosae-Mimosoideae). Flora Malesiana - Series 1, Spermatophyta, 11(1), 1–226.",NA,Archidendron_glabrum,Archidendron glabrum,1,"shrub, tree",,NA,NA,7,NA,m,racemes,,,20,70,NA,cm,NA,NA,NA,NA,,NA,NA,NA,NA,,5,NA,18,27,NA,mm,NA,NA,NA,NA,,yes,Sometimes male,,,,NA,2,3,4,mm,NA,NA,1,NA,mm,NA,6,9,NA,mm,NA,2,4,NA,mm,NA,NA,NA,NA,,,NA,15,20,NA,mm,white,,,,,,,Archidendron clade
"Nielsen, I., Baretta–Kuipers, T. and Guinet, P. (1984), The genus Archidendron (Leguminosae – Mimosoideae). Nordic Journal of Botany, 4: 770-770. https://doi.org/10.1111/j.1756-1051.1984.tb02008.x",NA,Archidendron_glomeriflorum,Archidendron glomeriflorum,1,"tree, shrub",,NA,NA,5,NA,m,pedunculate,,,NA,NA,NA,,NA,NA,NA,NA,,NA,30,NA,NA,mm,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,1.3,NA,NA,mm,NA,NA,0.3,NA,mm,NA,4,NA,NA,mm,NA,2,2.5,NA,mm,NA,NA,NA,NA,,,NA,NA,NA,NA,,,,,,,,,Archidendron clade
"Nielsen, I. C. (1992). Mimosaceae (Leguminosae-Mimosoideae). Flora Malesiana - Series 1, Spermatophyta, 11(1), 1–226.",NA,Archidendron_jiringa,Archidendron jiringa,1,"shrub, tree",,NA,NA,21,NA,m,consisting of glomerules or small spikes,aggregated into panicles,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,5,NA,NA,NA,NA,,NA,NA,NA,NA,,yes,,,,,NA,1,2,NA,mm,NA,0.2,0.3,NA,mm,NA,4,5,NA,mm,NA,2,NA,NA,mm,NA,NA,NA,NA,,,NA,8,10,NA,mm,,,,yes,,,,Archidendron clade
"Nielsen, I. C. (1992). Mimosaceae (Leguminosae-Mimosoideae). Flora Malesiana - Series 1, Spermatophyta, 11(1), 1–226.",NA,Archidendron_ptenopum,Archidendron ptenopum,1,tree,,NA,9,13.5,NA,m,umbles or corymbs,,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,5,NA,4,5,NA,mm,NA,NA,NA,NA,,yes,,,,,3,NA,NA,NA,mm,NA,NA,,NA,,NA,9,12.5,NA,mm,NA,5,7,NA,mm,NA,NA,NA,NA,,,NA,15,17,NA,mm,white,,,Tube equalling the corolla-tube,,,,Archidendron clade
"Nielsen, I., Baretta–Kuipers, T. and Guinet, P. (1984), The genus Archidendron (Leguminosae – Mimosoideae). Nordic Journal of Botany, 4: 770-770. https://doi.org/10.1111/j.1756-1051.1984.tb02008.x",NA,Archidendron_robinsonii,Archidendron robinsonii,1,tree,,NA,8,9,NA,m,panicled head,,,NA,NA,NA,,NA,NA,NA,NA,,NA,10,15,NA,mm,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,4.5,7,NA,mm,NA,NA,,NA,,NA,9,12,15,mm,NA,4,5,NA,mm,NA,NA,NA,NA,,,NA,NA,NA,NA,,,,,,,,,
"Nielsen, I. C. (1992). Mimosaceae (Leguminosae-Mimosoideae). Flora Malesiana - Series 1, Spermatophyta, 11(1), 1–226.",NA,Archidendron_scutiferum,Archidendron scutiferum,1,"tree, shrub",,NA,NA,20,NA,m,pedunculate glomerules,"consisting of pedunculate glomerules, aggregated into panicles",,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,5,NA,NA,NA,NA,,NA,NA,NA,NA,,yes,,,,,NA,1.2,2.5,NA,mm,NA,0.2,0.5,NA,mm,NA,4,6,NA,mm,NA,2,2.8,NA,mm,NA,NA,NA,NA,,,NA,5,10,NA,mm,white,,,Tube equalling or longer than the corolla tube,,,,Archidendron clade
"Nielsen, I., Baretta–Kuipers, T. and Guinet, P. (1984), The genus Archidendron (Leguminosae – Mimosoideae). Nordic Journal of Botany, 4: 770-770. https://doi.org/10.1111/j.1756-1051.1984.tb02008.x",NA,Archidendron_utile,Archidendron utile,1,"shrubs, rarely trees",,NA,1,2,NA,m,panicled head,,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,1.5,3,NA,mm,NA,NA,,NA,,NA,6,8,NA,mm,NA,1.5,NA,NA,mm,NA,NA,NA,NA,,,NA,NA,NA,NA,,,,,,,,,Archidendron clade
"Leroy, J.-F. & Mackee, H.S. (eds.) (1983). Flore de la Nouvelle-Calédonie et Dépendances 12: 1-139. Muséum National d'Histoire Naturelle, Paris. https://www.biodiversitylibrary.org/item/278371#page/72/mode/1up",NA,Archidendropsis_fournieri,Archidendropsis fournieri,1,Shrubs or tree,,NA,NA,20,NA,m,capitula,globose,,NA,NA,NA,,NA,NA,NA,NA,,NA,0.8,4,NA,cm,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,2,3,NA,mm,NA,0.1,0.4,NA,mm,NA,6,9.5,NA,mm,NA,1.2,2.5,NA,mm,NA,NA,NA,NA,,numerous,NA,NA,NA,NA,,,absent,,,,,,Archidendron clade
"Nielsen,  Ivan, Guinet,  Philippe, & Baretta-Kuipers,  T. (1984). Studies in the Malesian, Australian and Pacific Ingeae (Leguminosae-Mimosoideae) : the genera Archidendropsis, Wallaceodendron, Paraserianthes, Pararchidendron and Serianthes (part 3). Bulletin Du Muséum National d’Histoire Naturelle Section B,Adansonia, Botanique, Phytochimie, 6(1), 79--111. https://doi.org/10.5962/p.274937",NA,Archidendropsis_granulosa,Archidendropsis granulosa,1,tree,,NA,NA,30,NA,m,spikes,Terminal racemes,,6.5,13,NA,cm,NA,NA,NA,NA,,NA,NA,NA,NA,,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,1,1.5,2,2.1,mm,NA,0.1,0.2,NA,mm,NA,3,4,4.5,mm,NA,0.5,1,NA,mm,NA,NA,NA,NA,,,NA,7,10,NA,mm,,absent,,,,,,Archidendron clade
Bull. Soc. Bot. France 80: 466 (1933),NA,Aubrevillea_kerstingii,Aubrevillea kerstingii,1,tree,,NA,NA,NA,NA,,racemes,Spiciform racemes,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,0.7,1.3,NA,mm,NA,NA,NA,NA,,,,,,,NA,0.7,1,NA,mm,NA,NA,,NA,,NA,2.5,3,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,8-10,NA,NA,NA,NA,,,,,,,,,Entada clade
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0075.txt,2025-10-02T19:26:15.085810,Blanchetiodendron_blanchetii,Blanchetiodendron blanchetii,1,tree,NA,NA,5,12,NA,m,capitula,umbelliform,1.5,2,2.5,NA,mm,NA,NA,NA,NA,NA,NA,8,13,NA,mm,5-merous,1.5,NA,6,NA,mm,0.2,NA,0.5,NA,mm,NA,NA,present,NA,turbinate-campanulate or somewhat urn-shaped,2,2,3,3,mm,0.1,0.1,0.25,0.25,mm,NA,4,5,NA,mm,NA,1.4,2.2,NA,mm,NA,1,1.2,NA,mm,26-38,NA,11,16,NA,mm,white,NA,present,present,NA,NA,absent,Inga clade
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0127.txt,2025-10-02T18:01:58.247088,Calliandra_bahiana,Calliandra bahiana,1,shrubs,NA,1,1.6,3,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2.5,6,NA,cm,4 (5)-merous,0.6,NA,1,NA,mm,2.5,NA,3.7,NA,mm,NA,NA,no,NA,shallowly campanulate,3,NA,8,NA,mm,NA,0.6,1.2,2,mm,NA,9,13,14,mm,NA,4.5,5.5,7,mm,NA,NA,NA,NA,NA,(98-)114-204(-218),2.8,3.2,4.4,NA,mm,white rubescent,eglandular,present,NA,present,absent,absent,Calliandra clade
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0035.txt,2025-10-02T17:03:44.737853,Calliandra_bella,Calliandra bella,1,arborescent shrubs,NA,NA,2,6,NA,m,capituliform racemes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,7.5,NA,cm,5-merous,0.7,0.7,2.4,NA,mm,0.6,0.6,1.5,NA,mm,NA,NA,Essentially homomorphic,NA,campanulate,2,2,4.3,4.3,mm,0.4,0.4,1,1,mm,NA,7,9,NA,mm,NA,2.8,3.7,NA,mm,NA,NA,NA,NA,NA,26-44,NA,3.5,5.8,NA,cm,white,eglandular,present,NA,present,absent,absent,Calliandra clade
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0109.txt,2025-10-02T17:49:39.922003,Calliandra_brenesii,Calliandra brenesii,1,shrubs,NA,NA,2,3,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.8,NA,cm,3-4-merous,0.3,0.3,0.9,NA,mm,0.4,0.4,0.6,NA,mm,NA,NA,homomorphic,NA,campanulate,2.8,2.8,3,3,mm,0.3,0.3,0.9,0.9,mm,NA,9,10.5,NA,mm,NA,2,3.2,NA,mm,NA,NA,NA,NA,NA,24-30,NA,2.9,3.6,NA,cm,NA,eglandular,present,NA,present,present,,Calliandra clade
"Barneby, R., 1998. Calliandra. Silk tree, Guanacaste, Monkeys Earring. A generic system for the Synandrous Mimosaceae of the Americas. Mem. New York Bot. Gard, 74(3), pp.1-223.",NA,Calliandra_brevicaulis,Calliandra brevicaulis,1,"Functionally herbaceous or subherbaceous, subshrubs",,NA,1,4,NA,dm,capitula,umbelliform,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2.5,10.5,NA,cm,5-7,NA,5,26,NA,mm,NA,0.4,1.1,NA,mm,NA,NA,present,NA,campanulate,NA,3,5.2,6,mm,0.4,0.8,1.4,NA,mm,NA,8.2,9,14,mm,NA,2.5,4.5,NA,mm,NA,NA,NA,NA,NA,34-44,NA,4.5,6,7,cm,,no,present,yes,,absent,,Calliandra clade
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0063.txt,2025-10-02T17:21:19.583063,Calliandra_caeciliae,Calliandra caeciliae,1,trees,NA,NA,2,6,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,17,mm,4 (5)-merous,0.1,NA,0.5,NA,mm,0.4,NA,0.6,NA,mm,present,present,homo or heteromorphic,NA,campanulate or deeply campanulate,1.2,1.2,2.1,2.8,mm,0.1,0.1,0.25,0.25,mm,3.4,4,6,7.7,mm,NA,0.8,1.5,NA,mm,NA,NA,NA,NA,NA,9-15,NA,22,29,NA,mm,"pallid proximally, carmine",eglandular,NA,present,NA,NA,,Calliandra clade
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0022.txt,2025-10-02T16:55:29.206627,Calliandra_californica,Calliandra californica,1,shrubs,NA,0.5,0.8,2,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,17,20,mm,5,0.15,NA,0.6,0.8,mm,0.3,NA,0.6,NA,mm,present,some staminate only,homomorphic,NA,campanulate or hemispherical,1,1.2,1.7,NA,mm,NA,NA,0.25,NA,mm,5.5,5.8,7.2,NA,mm,1.6,1.8,2.4,NA,mm,NA,NA,NA,NA,NA,17-26(30),12,17,24,26,mm,red-crimson,eglandular,present,present,NA,Only in bissexual flowers,,Calliandra clade
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0182.txt,2025-10-02T18:37:17.071226,Calliandra_comosa,Calliandra comosa,1,shrubs,NA,NA,1,2.5,NA,m,Panicle of pseudoracemes (capitula?),NA,NA,4,10,NA,cm,NA,NA,NA,NA,NA,NA,6,16,NA,mm,4-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,homomorphic,NA,campanulate,NA,2,NA,NA,mm,NA,NA,0.5,NA,mm,NA,NA,6,NA,mm,NA,1.5,NA,NA,mm,NA,NA,NA,NA,NA,34,NA,17,20,NA,mm,white,eglandular,present,present,NA,present,,Calliandra clade
