"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean"
"Anadenanthera_peregrina","tree","","capitula","","5","","","","","","10","whitw","absent","","","","","",1500,NA,14,27.5,NA,1.75,NA,2.75,NA,NA,6.5
"Archidendron_chevalieri","tree","",NA,"terminal or axillary, narrow panicled, peduncle","5","","","","","","46","","","","","","","",350,NA,NA,1.55,NA,0.275,NA,0.5,NA,NA,1.5
"Archidendron_ellipticum","tree","","capitula","aggregated into panicles","5","yes","","","","","","white","","","yes","","","",1450,NA,NA,NA,NA,0.175,0.075,0.475,0.225,NA,0.6
"Archidendron_glabrum","shrub, tree","","raceme","","5","yes","Sometimes male","","","","","white","","","","","","",700,45,NA,NA,2.25,0.25,0.1,0.75,0.3,NA,1.75
"Archidendron_glomeriflorum","tree, shrub","",NA,"","5","","","","","","","","","","","","","",500,NA,NA,3,NA,0.13,0.03,0.4,0.225,NA,NA
"Archidendron_jiringa","shrub, tree","","capitula&spike","aggregated into panicles","5","yes","","","","","","","","","yes","","","",2100,NA,NA,NA,NA,0.15,0.025,0.45,0.2,NA,0.9
"Archidendron_ptenopum","tree","","umbell","","5","yes","","","","","","white","","","Tube equalling the corolla-tube","","","",1125,NA,NA,NA,0.45,0.3,NA,1.075,0.6,NA,1.6
"Archidendron_robinsonii","tree","","capitula","","","","","","","","","","","","","","","",850,NA,NA,1.25,NA,0.575,NA,1.05,0.45,NA,NA
"Archidendron_scutiferum","tree, shrub","","capitula","consisting of pedunculate glomerules, aggregated into panicles","5","yes","","","","","","white","","","Tube equalling or longer than the corolla tube","","","",2000,NA,NA,NA,NA,0.185,0.035,0.5,0.24,NA,0.75
"Archidendron_utile","shrubs, rarely trees","","capitula","","","","","","","","","","","","","","","",150,NA,NA,NA,NA,0.225,NA,0.7,0.15,NA,NA
"Archidendropsis_fournieri","Shrubs or tree","","capitula","globose","5","","","","","",NA,"","absent","","","","","",2000,NA,NA,2.4,NA,0.25,0.025,0.775,0.185,NA,NA
"Archidendropsis_granulosa","tree","","spike","Terminal racemes","5","","","","","","","","absent","","","","","",3000,9.75,NA,NA,NA,0.175,0.015,0.35,0.075,NA,0.85
"Aubrevillea_kerstingii","tree","","raceme","Spiciform racemes","","","","","","","8-10","","","","","","","",NA,NA,NA,NA,0.1,0.085,NA,0.275,NA,NA,NA
"Blanchetiodendron_blanchetii","tree",NA,"capitula","umbelliform","5",NA,NA,"present",NA,"turbinate-campanulate or somewhat urn-shaped","26-38","white",NA,"present","present",NA,NA,"absent",850,0.225,NA,1.05,0.375,0.25,0.0175,0.45,0.18,0.11,1.35
"Calliandra_bahiana","shrubs",NA,"capitula",NA,"4",NA,NA,"no",NA,"shallowly campanulate","114-204","white rubescent","absent","present",NA,"present","absent","absent",230,NA,NA,4.25,0.08,0.55,0.09,1.1,0.5,NA,0.38
"Calliandra_bella","arborescent shrubs",NA,"raceme",NA,"5",NA,NA,"Essentially homomorphic",NA,"campanulate","26-44","white","absent","present",NA,"present","absent","absent",400,NA,NA,5,0.155,0.315,0.07,0.8,0.325,NA,4.65
"Calliandra_brenesii","shrubs",NA,"capitula",NA,"3&4",NA,NA,"homomorphic",NA,"campanulate","24-30",NA,"absent","present",NA,"present","present","",250,NA,NA,2.65,0.06,0.29,0.06,0.975,0.26,NA,3.25
"Calliandra_brevicaulis","Functionally herbaceous or subherbaceous, subshrubs","","capitula","umbelliform","5",NA,NA,"present",NA,"campanulate","34-44","","absent","present","yes","","absent","",25,NA,NA,6.5,1.55,0.41,0.11,0.86,0.35,NA,5.25
"Calliandra_caeciliae","trees",NA,"capitula",NA,"4","present","present","homo or heteromorphic",NA,"campanulate or deeply campanulate","9-15","pallid proximally, carmine","absent",NA,"present",NA,NA,"",400,NA,NA,0.8,0.03,0.165,0.0175,0.5,0.115,NA,2.55
"Calliandra_californica","shrubs",NA,"capitula",NA,"5","present","some staminate only","homomorphic",NA,"campanulate or hemispherical","17-26","red&pink","absent","present","present",NA,"Only in bissexual flowers","",140,NA,NA,1.15,0.0375,0.145,0.025,0.65,0.21,NA,2.05
"Calliandra_comosa","shrubs",NA,"Panicle of pseudoracemes (capitula?)",NA,"4",NA,NA,"homomorphic",NA,"campanulate","34","white","absent","present","present",NA,"present","",175,7,NA,1.1,NA,0.2,0.05,0.6,0.15,NA,1.85
"Calliandra_dysantha","subshrubs","xylopodium","capitula","umbelliform","5",NA,"yes","Inner most broader than outer ones",NA,"turbinate","52-92","red&pink","absent","present","present",NA,"absent","",80,NA,2.75,NA,0.3,0.575,0.17,1.2,0.525,NA,4.5
"Calliandra_erubescens","Shrubs",NA,"capitula",NA,NA,NA,NA,NA,NA,"shallowly campanulate","24-44","white","absent","present","present","present","absent","",225,NA,NA,3.25,0.065,0.155,0.04,0.56,0.25,NA,2.7
"Calliandra_longipes","functionally herbaceous subshrubs","rhizomes","capitula",NA,NA,NA,NA,"homomorphic",NA,NA,"66-82","whitish with tassel red","absent","present","present",NA,"absent","",20,NA,NA,12,0.055,0.255,0.0825,1.09,0.26,NA,2.7
"Calliandra_mollissima","shrubs and treelets",NA,"capitula",NA,"4",NA,NA,"Present",NA,"campanulate","9-12","white","absent","present","present",NA,"Only in central flowers","",300,NA,NA,1.9,NA,0.17,0.0275,0.485,0.11,NA,2.95
"Calliandropsis_nervosa","shrub","","Capituliform spikes","","5","yes","","","","","5","white, pink","Mostly glandless, rarely with minute apical glands","","","no","","",100,NA,NA,0.4,NA,0.2,NA,0.375,NA,NA,0.7
"Calpocalyx_cauliflorus","tree","","spike","","","","","","","","10","","present","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calpocalyx_dinklagei","tree","","spike","Arranged in a panicle","5","","","","","","10","","Anthers bearing a caducous apical gland","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chidlowia_sanguinea","tree","",NA,"","5","","","","","","10","","","","","","","present",800,25,NA,NA,0.325,0.2,NA,0.65,NA,NA,2.5
"Chloroleucon_foliolosum","arborescent shrubs",NA,"capitula","hemispherical","5",NA,NA,"present",NA,"campanulate","10-12",NA,NA,NA,NA,"present",NA,"",550,NA,NA,1.35,NA,0.13,0.015,0.42,0.135,0.07,1.225
"Cojoba_graciliflora","shrubs or trees","","capitula","","5","","","","","","21-35","","","present","present","","","",800,NA,NA,5.3,NA,0.375,0.05,1.25,0.1375,NA,1.75
"Cylicodiscus_gabunensis","tree","","Spiciforms racemes","","5","","","","","","10","","present","","","","present","",7800,NA,NA,NA,NA,0.1,NA,0.2,NA,NA,NA
"Desmanthus_fruticosus","shrub, small tree","","spike","Heads or very short spikes","5","","yes","","yes","","10","white","absent","","","","","",250,1.75,NA,2.65,NA,0.235,0.0375,0.425,NA,NA,0.83
"Entada_elephantina","geoxylic suffrutex with erect annual herbaceous stems","","raceme","axillary,usually confined to the lower part of the stem","5","","","","","","","","Spheroidal apical gland","present","","","","Flowers with minute reddish to reddish-brown glands at the base",55,6,NA,NA,0.15,0.175,NA,0.325,NA,NA,0.65
"Entada_goetzei","shrub, tree","","raceme","spiciform raceme","","","","","","","","","Spheroidal apical gland","present","","","","Minute pale yellowish-white glands at the base of pedicels",550,12.5,NA,NA,0.1,0.1625,NA,0.275,NA,NA,0.45
"Enterolobium_barnebianum","tree","","umbell","panicle","","","","yes","","","8-11","","","","","present","","",2750,6,NA,NA,0.5,0.25,NA,0.35,NA,NA,0.7
"Enterolobium_timbouva","tree","","capitula","Fasciculate","","yes","","","","","","","","","","","","",1200,1,NA,NA,NA,0.35,NA,NA,NA,NA,NA
"Faidherbia_albida","tree","","spike","Axillary panicle","5","","","","","","40-50","","absent","","","","","",3000,9,NA,3,0.2,0.135,NA,0.325,NA,NA,0.5
"Falcataria_falcata","tree","","spike","panicle of spikes","5","","","","","","84-148","","","present","present","","An intrastaminal disc around base of ovary","",2500,2.75,NA,NA,NA,0.255,2.75,0.66,0.32,0.175,1.6
"Gretheria_campylacantha","arborescent shrubs and trees",NA,"capitula",NA,"5",NA,NA,"Homomorphic",NA,"deeply campanulate","40-50",NA,NA,"present",NA,"present",NA,"Rarely forming a pronounced vectorial disc",800,NA,NA,3,NA,0.295,0.06,0.5,0.09,NA,1.025
"Havardia_albicans","trees",NA,"capitula",NA,"4",NA,NA,"homomorphic",NA,"subhemispherical",NA,"white",NA,"present","present",NA,NA,"Nectariferous disc not developed",825,NA,NA,0.95,NA,0.185,0.0325,0.34,0.16,0.11,1.125
"Havardia_pallens","trees or bushy treelets",NA,"capitula","hemispherical","5",NA,NA,"homomorphic",NA,"shallowly campanulate or hemispherical","30-52",NA,NA,"present","present",NA,NA,"Petiolar nectary",550,NA,NA,1.55,NA,0.135,0.035,0.465,0.16,0.085,1.25
"Hesperalbizia_occidentalis","trees",NA,"capitula",NA,"5",NA,NA,"homomorphic",NA,"campanulate","52-76","white",NA,"present","present",NA,NA,"",2500,NA,NA,4.75,NA,0.275,0.055,0.925,0.19,NA,2.2
"Hydrochorea_leucocalyx","trees",NA,"capitula","","5","","","dimorphic","","","28-36","",NA,"present","present","","","",2250,NA,NA,5,0.425,0.415,0.12,0.815,0.275,0.215,3.05
"Inga_adenophylla","tree","","spike","axillary, a congested spike","5","","","","","","45-50","white","","","present","","","",1500,NA,NA,6,0.025,NA,0.2,1.15,0.35,0.35,2.5
"Inga_alba","tree","","spike","axillary, often clustered on short leafless axillary shoots, congested spike","5","","","","","Cup-shaped to tubular","25-45","white","","","Present","","","",4000,0.65,NA,1.2,NA,0.125,0.025,0.25,0.075,NA,0.525
"Inga_arenicola","treelet",NA,"capitula",NA,"5",NA,NA,NA,NA,"funnel-shaped","35-40","white",NA,NA,"present","present",NA,"",350,0.2,NA,6,0.0625,0.15,0.25,0.75,0.125,NA,1
"Inga_barbata","tree",NA,"spike",NA,"5",NA,NA,NA,NA,NA,"35-40","white",NA,NA,NA,"present",NA,"",1200,1.4,NA,3.75,NA,0.55,0.1,1.05,0.25,NA,2
"Inga_blanchetiana","Tree",NA,"spike&raceme","congested","5",NA,NA,NA,NA,NA,"75","white",NA,NA,"present","present",NA,"",2000,3,NA,1.75,0.2,1.05,0.2,3.5,0.3,NA,2.65
"Inga_bullatorugosa","small tree",NA,"umbell","globose",NA,NA,NA,NA,NA,"narrowly funnel-shaped","50",NA,NA,NA,"present","present",NA,"",NA,0.2,NA,0.35,1.25,0.225,0.05,0.75,0.125,NA,0.95
"Inga_cordatoalata","tree",NA,"raceme",NA,NA,NA,NA,NA,NA,"cup-shaped","40-50","white",NA,NA,NA,"present",NA,"",3000,4.25,NA,1.55,0.075,0.075,0.025,0.35,0.1,NA,0.6
"Inga_filiformis","tree",NA,"capitula","subglobose",NA,NA,NA,NA,NA,NA,"45-55","white",NA,NA,"present","present",NA,"",1500,0.25,NA,9.75,0.025,0.25,0.3,0.75,0.2,NA,1.4
"Inga_golfodulcensis","tree",NA,"spike",NA,NA,NA,NA,NA,NA,"funnel-shaped","40-50","white",NA,NA,NA,"present",NA,"",2500,0.45,NA,1.35,0.05,0.225,0.025,0.65,0.15,NA,1
"Inga_herrerae","tree",NA,"spike","congested",NA,NA,NA,NA,NA,NA,"80",NA,NA,NA,"present",NA,NA,"",1500,2.5,NA,1.75,NA,0.55,0.15,0.125,0.35,NA,1.75
"Inga_lallensis","tree",NA,"umbell","globose",NA,NA,NA,NA,NA,"cup-shaped","40-50",NA,NA,NA,NA,"present",NA,"",800,0.4,NA,5.5,0.275,0.125,0.0375,0.675,0.125,NA,0.85
"Inga_maritima","Shrub or small tree",NA,"spike","Congested","5",NA,NA,NA,NA,NA,"35-40","white",NA,NA,NA,"present",NA,"",700,2.5,NA,2.25,NA,0.2,0.05,0.75,0.2,NA,1.2
"Inga_microcalyx","tree",NA,"spike","congested",NA,NA,NA,"homomorphic",NA,"cup-shaped","30","white",NA,NA,NA,"present",NA,"",800,3,NA,8.5,0.025,0.1,0.025,0.425,0.175,NA,1.25
"Inga_mortoniana","tree",NA,"capitula",NA,NA,NA,NA,NA,NA,"tubular or narrowly funnel-shaped, often slightly curved","45","pure white",NA,NA,"present",NA,NA,"",1500,0.25,NA,3.5,NA,0.45,0.06,0.95,0.15,NA,0.85
"Inga_nobilis","tree",NA,"Spike,capitulum or umbel","globose, clavate or unexpanded",NA,NA,NA,NA,NA,"funnel-shaped","35-60","white",NA,NA,"present","present",NA,"",1800,1.1,NA,4.25,0.85,0.5,0.1,0.85,0.175,NA,1.6
"Inga_oerstediana","tree",NA,"spike","axillary, often clustered at the apex, or in the axils of undeveloped leaves on axillary shoots, a congested spike","5","","","","","","60-110","white","","","","present","","",3000,3.25,NA,4.5,NA,0.25,0.075,1,0.25,NA,1.75
"Inga_ruiziana","tree",NA,"spike",NA,NA,NA,NA,NA,NA,NA,"50-80","white or occasionally pink",NA,NA,NA,"present",NA,"",3000,1,NA,2.65,0.025,0.35,0.075,0.65,0.175,NA,0.95
"Inga_samanensis","tree",NA,"spike",NA,NA,NA,NA,NA,NA,"tubular","33-40","white",NA,NA,"present","present",NA,"",2000,1.7,NA,1.05,NA,0.275,0.025,0.725,0.125,NA,1
"Inga_sertulifera",NA,NA,"Umbellate",NA,NA,NA,NA,NA,NA,"tubular","25-50","white",NA,NA,"present","present",NA,"",1750,0.325,NA,5,1.35,0.235,0.055,0.75,0.225,NA,1.4
"Inga_sierrae","tree",NA,"spike","congested","5",NA,NA,NA,NA,NA,"80","white",NA,NA,NA,"present",NA,"",2000,2.25,NA,6,NA,1.05,0.2,1.8,0.4,NA,2.25
"Inga_stenoptera","tree",NA,"spike","congested","5",NA,NA,NA,NA,"tubular to narrowly funnel-shaped","40-65","yellow",NA,NA,"present","present",NA,"",1750,1.25,NA,3.75,NA,0.4,0.125,0.9,0.225,NA,1.5
"Inga_tenuicalyx","tree",NA,"spike",NA,"5",NA,NA,NA,NA,"funnel-shaped","55-60","white",NA,NA,NA,"present",NA,"",500,2.75,NA,4.25,NA,0.8,0.35,1.15,0.15,NA,2
"Inga_tonduzii","Tree",NA,"spike",NA,"5",NA,NA,NA,NA,NA,"100-110","pale cream-coloured",NA,NA,"present","present",NA,"",2500,2.5,NA,2.15,NA,0.95,0.3,0.21,0.45,NA,3
"Inga_umbellifera","tree",NA,"umbell","globose",NA,NA,NA,NA,NA,"tubular","25-40","white",NA,NA,NA,"present",NA,"",2000,0.275,NA,3.1,1.35,0.2875,0.0625,0.7,0.175,NA,1.75
"Inga_umbratica","tree",NA,"umbell",NA,"5",NA,NA,NA,NA,"tubular","20-55","white",NA,NA,NA,"present",NA,"",2000,0.175,NA,0.75,0.2875,0.1,0.0275,0.45,0.1125,NA,0.9
"Jupunba_abbottii","trees",NA,"capitula","subumbellate","5","","","","","","27-36","",NA,"present","","","","",800,NA,NA,2.75,NA,0.26,0.025,0.65,0.215,0.115,1.85
"Jupunba_adenophora","trees",NA,"raceme","","5","","","yes","","","15-17","",NA,"present","present","","","",2100,NA,NA,4.25,0.525,0.23,0.07,0.46,0.17,NA,1.45
"Jupunba_cochleata","tree",NA,"capitula",NA,"5",NA,NA,"yes",NA,"turbinate-campanulate, obtusely 5-angulate","12-22",NA,NA,"present",NA,"present",NA,"",1150,NA,NA,3,0.19,0.21,0.0375,0.495,0.13,NA,1.85
"Jupunba_ganymedea","trees",NA,"capitula",NA,"5",NA,"present","present",NA,NA,"10",NA,NA,"Almost 0","present",NA,NA,"",2000,1,NA,2.75,0.065,0.23,0.04,0.41,0.17,0.07,1.55
"Jupunba_longipedunculata","shrubs and trees",NA,"capitula",NA,"5",NA,NA,"Probably dimorphic but terminal one not observed",NA,"narrowly campanulate","30-36","Probably white",NA,"present",NA,NA,NA,"",1100,NA,NA,8.75,NA,0.615,0.12,0.875,0.2,NA,NA
"Jupunba_oppositifolia","trees",NA,"capitula",NA,"5",NA,NA,"homomorphic",NA,NA,"43-52",NA,NA,"present","present",NA,NA,"",750,NA,NA,6,0.15,0.38,0.055,0.66,0.265,0.135,1.35
"Jupunba_turbinata","trees",NA,"capitula",NA,"5",NA,NA,"yes",NA,"turbinate","16-28",NA,NA,"present","present",NA,NA,"",650,1.5,NA,12,0.15,0.4,0.095,0.65,NA,NA,2.85
"Lemurodendron_capuronii","tree","","spike","Terminal panicle","","","","","Basal flowers sterile","","10","","present","","","","","",3000,NA,NA,NA,NA,0.1375,NA,0.375,NA,NA,0.575
"Leucaena_cuspidata","tree","","capitula","","5","","","","","","10","pale creamy white","","","","","","",300,1.45,1.45,3.05,NA,0.275,NA,0.4,NA,NA,0.65
"Leucaena_esculenta","tree","","capitula","","5","","","","","","10","white","","","","","","",1250,2.75,2.65,2.75,NA,0.33,NA,0.485,NA,NA,1.29
"Leucaena_pulverulenta","tree","","capitula","","5","","","","","","10","pale cream-white","","","","","","",1150,1.75,1.75,3,NA,0.14,NA,0.395,NA,NA,0.59
"Leucaena_retusa","tree","","capitula","","5","","","","","","10","yellow","","absent","","","","",350,2.25,2.25,5.75,NA,0.435,NA,0.6,NA,NA,1.275
"Leucaena_trichodes","tree, shrub","","capitula","","5","","","","","","10","white","","","","","","",650,1,1,1.4,NA,0.195,NA,0.28,NA,NA,0.515
"Lysiloma_watsonii","tree","","capitula","","","","","","","","","","","","","","","",NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macrosamanea_simabifolia","shrubs",NA,"capitula",NA,NA,NA,NA,NA,NA,"cylindric or slightly dilated above middle","30-50",NA,NA,NA,NA,NA,NA,"",400,NA,NA,3.75,NA,0.575,0.105,1.75,0.3,NA,NA
"Mariosousa_centralis","tree","","spike","Loosely flowered cylindrical spike","5","","","","","",NA,"","","","","","","",2500,10,NA,0.7,NA,0.1,NA,0.215,NA,NA,0.55
"Mariosousa_heterophylla","tree","","spike","Loosely flowered cylindrical","5","","","","","","Numerous (more than 50)","","","","","","","",1000,6,NA,1.5,NA,0.175,NA,0.3,NA,NA,0.7
"Marlimorimia_psilostachya","tree","","spike","","5","","","","","","10","","Present","","","","","",4500,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Mezcala_balsensis","Tree or shrub","","capitula","","5","","yes","","yes","","10","white","With a stalked spherical apical gland","","","","","",225,NA,NA,2,NA,0.1575,0.04,0.275,NA,NA,0.45
"Mimosa_adenantheroides","arborescent shrubs","","capitula","oblong-ellipsoid, spiciform, cylindric, or amentiform","5","yes",NA,NA,NA,"campanulate","10","whitish or pale pink","absent","absent","absent","",NA,"",250,1.4,0.7,2.25,0.02,0.165,0.035,0.315,NA,NA,0.6
"Mimosa_affinis","herbs","","capitula","","","yes","Lower ones staminates","dimorphic",NA,"","","","absent",NA,"","",NA,"",NA,0.3,0.3,NA,NA,0.02,NA,0.2,NA,NA,0.3
"Mimosa_albida","herbs, bushy shrubs, weakly woody sarmentose vines and treelets","","capitula","globose","4",NA,NA,NA,NA,"minute","4","red&pink","absent",NA,"","",NA,"",300,0.55,NA,2.5,NA,0.0275,NA,0.23,0.07,0.05,0.575
"Mimosa_antioquensis","shrubs","","capitula","globose or plumply ellipsoid","5","yes",NA,NA,NA,"shallowly or narrowly campanulate","5","","absent",NA,"","",NA,"",500,0.575,NA,1.2,NA,0.07,NA,0.23,0.09,0.03,0.175
"Mimosa_arenosa","subshrubs, shrubs and trees","","spike","","4","","In some spike many staminate",NA,NA,"Shallowly or shortly campanulate","8","white or cream-white, exceptionally pallid-roseate in fading","absent",NA,"","",NA,"",400,5.25,NA,NA,NA,0.055,0.015,0.225,0.14,0.08,0.425
"Mimosa_bahamensis","shrubs and treelets","","capitula","globose","4","yes",NA,NA,NA,"campanulate","8","red&pink","absent",NA,"","",NA,"",325,NA,0.6,1.1,NA,0.115,0.02,0.28,0.11,0.08,0.375
"Mimosa_bimucronata","Trees and bushy treelets","","capitula","globose","4",NA,"Pistil of some lower flowers rudimentary",NA,NA,"campanulate","8","white","absent",NA,"","",NA,"",550,NA,0.475,1.8,NA,0.0725,0.01,0.24,0.11,0.07,0.525
"Mimosa_bonplandii","shrub or treelet","","capitula","globose","4","yes",NA,NA,NA,"cup-shaped","4","pale yellow","absent",NA,"","",NA,"",200,NA,0.475,0.675,NA,0.045,NA,0.23,0.09,0.09,0.25
"Mimosa_borealis","shrubs","","capitula","umbelliform, spherical or hemispherical","4&5",NA,NA,NA,NA,"turbinate","8","red&pink","absent","present","","",NA,"",120,0.6,NA,1.65,0.07,0.065,NA,0.245,NA,NA,0.375
"Mimosa_brevispicata","","","","","","","","","","","","","absent","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_caesalpiniifolia","trees or potentially sarmentose shrubs","","spike","Amentiform","3","yes",NA,NA,NA,"","6","white","absent",NA,"","",NA,"",500,NA,0.45,5,NA,0.055,0.015,0.195,0.13,0.08,0.575
"Mimosa_colombiana","vines","","capitula","globose","5&6","yes",NA,NA,NA,"campanulate","10","white","absent",NA,"","",NA,"",NA,NA,0.45,0.7,NA,0.065,NA,0.225,0.1,NA,0.275
"Mimosa_cruenta","subshrubs","heavy woody rootstock","capitula","globose","4","yes",NA,NA,NA,"campanulate","8","red&pink","absent",NA,"","",NA,"",100,NA,0.65,2.6,NA,0.095,0.0325,0.3,0.1,0.085,0.475
"Mimosa_cyclophylla","subshrubs","xylopodium","capitula","globose","4",NA,"Some lower ones staminate",NA,NA,"paleaceous","4","",NA,NA,"","",NA,"",175,1,NA,6,NA,0.275,NA,0.4,0.18,0.085,0.65
"Mimosa_dormiens","herbs","","capitula","plumply ellipsoid","4","yes",NA,NA,NA,"obsolete","8","pale lilac fading whitish",NA,NA,"","",NA,"",NA,0.575,0.4,2.15,NA,NA,NA,0.15,0.07,0.04,0.25
"Mimosa_ephedroides","shrubs","","capitula","globose","4",NA,NA,NA,NA,"campanulate","8","white",NA,NA,"","",NA,"",200,NA,0.725,1,0.03,NA,0.035,0.295,NA,NA,0.55
"Mimosa_extranea","shrubs or treelets","","capitula","globose","4&5","yes",NA,NA,NA,"narrowly campanulate","8","white",NA,NA,"","",NA,"",225,0.5,NA,2.2,NA,0.09,0.02,0.27,0.13,0.06,0.275
"Mimosa_gemmulata","shrubs","","spike","","4",NA,"Some functionally male",NA,NA,"crateriform or shallowly campanulate","8","red&pink",NA,NA,"","",NA,"",175,8.5,NA,NA,NA,0.06,0.02,0.205,0.13,0.0725,0.6
"Mimosa_gentryi","shrubs","","capitula","hemispherical","4&5",NA,NA,NA,NA,"campanulate","8-10","red&pink",NA,NA,"","",NA,"",250,0.75,NA,2,NA,0.09,0.01,0.34,0.13,0.0725,0.525
"Mimosa_gracilis","herbs","woody, when young carrot-like, in age knotty and amorphous","capitula","globose","4","yes","Lower ones usually staminate","yes",NA,"campanulate","8","red&pink",NA,NA,"","",NA,"",80,NA,0.375,2.75,NA,0.03,NA,0.2,0.17,NA,0.4
"Mimosa_guaranitica","subshrubs","woody root-stock","capitula","globose","3",NA,NA,NA,NA,"campanulate","6","red&pink","absent","absent","","",NA,"",50,0.525,NA,4.25,0.01,NA,NA,0.255,0.12,0.1,0.525
"Mimosa_hilariana","subshrubs","","capitula","ellipsoid","4",NA,NA,NA,NA,"irregularly denticulate","4","","absent",NA,"","",NA,"",115,0.5,NA,NA,NA,0.07,0.023,0.185,0.07,0.045,NA
"Mimosa_hondurana","vines","","capitula","globose","4",NA,NA,NA,NA,"campanulate","8","white","absent",NA,"","",NA,"",300,0.4,NA,NA,NA,0.06,NA,2.15,NA,NA,NA
"Mimosa_lactiflua","Shrubs and treelets","","raceme","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",350,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA
