"genero","taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","na_percent","n_target"
"Albizia","Albizia_myriophylla","shrub, climber","","pedunculate glomerules","pedunculate glomerules aggregated into terminal, tomentose panicles","5","","","","","","","white","","","","","","",NA,NA,NA,15,NA,NA,0.75,0.25,4.5,1.5,NA,NA,24.1379310344828,9
"Albizia","Albizia_odoratissima","tree","","","","","","","","","","","","","","","","","",3000,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,16,31.0344827586207,9
"Albizia","Albizia_chinensis","trees",NA,"","","","","","","","",NA,"",NA,"","","","","",2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2758620689655,9
"Albizia","Albizia_bernieri","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,9
"Albizia","Albizia_harveyi","tree","","pedunculate","globose","","","","","","","","","","","","","","",1500,NA,NA,27.5,NA,NA,NA,NA,NA,NA,NA,20,31.0344827586207,9
"Albizia","Albizia_gummifera","tree","","","","","","","","","","","white, crimson","","","","","","",3000,NA,NA,6.5,0.5,NA,3.75,NA,9.25,NA,NA,NA,24.1379310344828,9
"Anadenanthera","Anadenanthera_peregrina","tree","","globose-capitate","","5","","","","","","10","off-white, golden red","no","","","","","",1500,NA,14,27.5,NA,NA,1.75,NA,2.75,NA,NA,6.5,20.6896551724138,4
"Archidendron","Archidendron_borneense","tree, shrub","","pedunculate umbels","pedunculate umbels aggregated in panicles","5","","","","","","","cream","","","","","","",1200,NA,NA,NA,4,NA,1.5,0.2,6,2.5,NA,20,17.2413793103448,12
"Archidendron","Archidendron_ptenopum","tree","","consisting of simple or once-branched pedunculate umbles or corymbs","","5","","","","","","","white","","","","","","",1125,NA,NA,NA,4.5,NA,3,NA,10.75,6,NA,16,20.6896551724138,12
"Archidendron","Archidendron_clypearia","shrub, much branched tree","","terminal, consisting of peduculate umbels or corymbs","terminal, consisting of peduculate umbels or corymbs aggreagted into panicles","5","","","","","","","creamy white, yellow","","","","","","",2200,NA,NA,NA,2.75,NA,2,NA,7.5,2.5,NA,13,20.6896551724138,12
"Archidendron","Archidendron_triplinervium","tree, shrub","","consisting of pedunculate glomerules","consisting of pedunculate glomerules aggregated into panicles","5","","","","","","","white","","","","","","",725,NA,NA,NA,1,NA,3.45,0.45,8,3.5,NA,25,17.2413793103448,12
"Archidendron","Archidendron_ellipticum","tree, shrub","","terminal and axillary at the distal leaves, consisting of pedunculate glomerules","terminal and axillary at the distal leaves, consisting of pedunculate glomerules aggregated into panicles","5","","","","","","","white","","","","","","",1450,NA,NA,NA,NA,NA,3.25,0.75,6.75,3,NA,6,20.6896551724138,12
"Archidendron","Archidendron_chevalieri","tree","","panicled, pedunculate","terminal or axillary, narrow panicled, peduncle","5","","","","","","46","","","","","","","",350,NA,NA,15.5,NA,NA,2.75,NA,5,NA,NA,15,24.1379310344828,12
"Archidendron","Archidendron_scutiferum","tree, shrub","","consisting of pedunculate glomerules","consisting of pedunculate glomerules, aggregated into panicles","5","","","","","","","white","","","","","","",2000,NA,NA,NA,NA,NA,1.85,0.35,5,2.4,NA,7.5,20.6896551724138,12
"Archidendron","Archidendron_glabrum","shrub, tree","","long, slender, racemes","","5","","","","","","","white","","","","","","",700,450,NA,NA,22.5,NA,2.5,1,7.5,3,NA,17.5,13.7931034482759,12
"Archidendron","Archidendron_jiringa","shrub, tree","","consisting of glomerules or small spikes","consisting of glomerules or small spikes aggregated into panicles","5","","","","","","","","","","","","","",2100,NA,NA,NA,NA,NA,1.5,0.25,4.5,2,NA,9,20.6896551724138,12
"Archidendron","Archidendron_utile","shrubs, rarely trees","","panicled head","","","","","","","","","","","","","","","",150,NA,NA,NA,NA,NA,2.25,NA,7,1.5,NA,NA,27.5862068965517,12
"Archidendron","Archidendron_robinsonii","tree","","panicled head","","","","","","","","","","","","","","","",850,NA,NA,12.5,NA,NA,5.75,NA,10.5,4.5,NA,NA,24.1379310344828,12
"Archidendron","Archidendron_glomeriflorum","tree, shrub","","pedunculate","","","","","","","","","","","","","","","",500,NA,NA,30,NA,NA,1.3,0.3,4,2.25,NA,NA,20.6896551724138,12
"Archidendropsis","Archidendropsis_granulosa","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,2
"Archidendropsis","Archidendropsis_fournieri","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,2
"Aubrevillea","Aubrevillea_kerstingii","tree","","racemes","Spiciform racemes","","","","","","","8","","","","","","","",NA,NA,NA,NA,1,NA,0.85,NA,2.75,NA,NA,NA,31.0344827586207,2
"Blanchetiodendron","Blanchetiodendron_blanchetii","tree",NA,"capitula",NA,"5-merous",NA,NA,"yes",NA,"turbinate-campanulate or somewhat urn-shaped",NA,"white",NA,"present","present",NA,NA,"",600,4,NA,1.05,0.375,0.035,0.25,0.0175,0.45,0.18,0.11,1.35,34.4827586206897,1
"Calliandra","Calliandra_dysantha","subshrubs","xylopodium","capitula",NA,"5",NA,"yes","yes",NA,"turbinate",NA,"blood-red",NA,"present",NA,NA,"absent","",80,2.75,NA,NA,0.3,NA,0.575,0.17,1.2,NA,NA,4.5,41.3793103448276,14
"Calliandra","Calliandra_erythrocephala","trees",NA,"capitula",NA,"4 (5)-merous",NA,NA,NA,NA,"campanulate subtumid",NA,NA,NA,NA,NA,NA,NA,"",400,NA,NA,4.25,0.06,0.1,0.245,0.03,1.2,0.19,NA,5,55.1724137931034,14
"Calliandra","Calliandra_calycina","shrubs",NA,"capitula",NA,"4 (5)-merous",NA,NA,NA,NA,NA,NA,"white rubescent",NA,"present",NA,NA,NA,"",130,NA,NA,2.25,0.08,0.165,0.36,0.115,0.725,0.3,NA,3.3,51.7241379310345,14
"Calliandra","Calliandra_brenesii","shrubs",NA,"capitula",NA,"3-4-merous",NA,NA,NA,NA,"campanulate",NA,"scarlet",NA,"present",NA,NA,"present","",250,NA,NA,2.65,0.06,0.05,0.29,0.06,0.975,0.26,NA,3.25,44.8275862068966,14
"Calliandra","Calliandra_caeciliae","frees",NA,"capitula",NA,"4 (5)-merous",NA,"staminate","variably homoor heteromorphic",NA,"campanulate or deeply campanulate",NA,"pallid proximally, carmine",NA,NA,NA,NA,NA,"",400,NA,NA,0.8,0.03,0.05,0.165,0.0175,NA,0.115,NA,2.55,48.2758620689655,14
"Calliandra","Calliandra_molinae","arborescent shrubs",NA,"capitula",NA,"5","yes","yes","yes",NA,"campanulate",NA,"pallid proximally, pink distally",NA,"present",NA,NA,"present","",400,NA,NA,0.4,NA,NA,0.375,0.09,0.7,0.215,NA,2.5,41.3793103448276,14
"Calliandra","Calliandra_conferta","shrubs",NA,"capitula",NA,"5",NA,NA,NA,NA,"campanulate",NA,"pale pink or whitish",NA,"present",NA,NA,"absent","",20,NA,NA,1.125,0.01,NA,0.14,0.0475,0.45,0.13,NA,1.075,48.2758620689655,14
"Calliandra","Calliandra_magdalenae","Trees",NA,"capitula",NA,"4 (5)-merous",NA,NA,"strongly heteromorphic",NA,"campanulate",NA,"pallid proximally, the tassel carmine",NA,NA,NA,NA,NA,"",2000,NA,NA,NA,0.06,NA,0.17,0.025,NA,0.135,NA,3.35,58.6206896551724,14
"Calliandra","Calliandra_glyphoxylon","arborescent shrubs",NA,"capitula","hemispherical","4 (5)-merous",NA,NA,NA,NA,"campanulate",NA,"at first white or pale pink, becoming crimson in age",NA,"present","present",NA,"present","",275,NA,NA,1.65,0.04,0.055,0.215,0.045,0.875,0.23,NA,2.85,37.9310344827586,14
"Calliandra","Calliandra_foliolosa","shrubs",NA,"capitula","umbelliform",NA,NA,NA,"yes",NA,NA,NA,"white or pale pink proximally, pink or crimson distally",NA,"present",NA,NA,"present","",NA,NA,NA,4,NA,NA,0.575,0.255,0.95,0.285,NA,4.9,55.1724137931034,14
"Calliandra","Calliandra_pittieri","shrubs and trees",NA,"capitula","hemispherical","5",NA,NA,"yes",NA,NA,NA,"pallid at base and crimson distally, rarely crimson throughout",NA,"present",NA,NA,NA,"",2000,NA,0.3,NA,NA,0.65,0.24,0.045,0.95,NA,NA,4.6,51.7241379310345,14
"Calliandra","Calliandra_chulumania","Arborescent shrubs",NA,"capitula",NA,NA,NA,NA,NA,NA,"deeply campanulate",NA,"dark red-brown",NA,NA,NA,NA,NA,"",275,NA,NA,0.85,0.85,NA,0.135,NA,NA,0.1,NA,2.15,65.5172413793103,14
"Calliandra","Calliandra_humilis","subskrubs","woody root and superficial or shallowly subterranean rhizomatous caudex","capitula",NA,"4(-5)-merous",NA,NA,"homomorphic",NA,"campanulate",NA,"pink or white",NA,"present",NA,NA,"present","",NA,NA,NA,1.6,0.1,NA,NA,0.05,0.56,0.1,NA,1.3,48.2758620689655,14
"Calliandra","Calliandra_selloi","shrubs",NA,"capitula","claviform or subglobase",NA,NA,NA,"heteromorphic",NA,"campanulate or turbinate-campanulate",NA,"whitish proximally, pinkor crimson-tipped (exceptionally all white)",NA,"present",NA,NA,NA,"",175,0.15,NA,0.95,0.04,NA,0.135,0.035,NA,NA,NA,2.85,51.7241379310345,14
"Calliandropsis","Calliandropsis_nervosa","shrub","","","","","","","","","","5","white, pink","no","","","","","",100,NA,NA,4,NA,NA,2,NA,3.75,NA,NA,7,24.1379310344828,1
"Calpocalyx","Calpocalyx_dinklagei","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,2
"Calpocalyx","Calpocalyx_aubrevillei","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,2
"Chidlowia","Chidlowia_sanguinea","tree","","panicles","","5","","","","","","10","","","","","","","yes",NA,250,NA,NA,3.25,NA,2,NA,6.5,NA,NA,25,24.1379310344828,1
"Chloroleucon","Chloroleucon_mangense","trees and arborescent shrubs",NA,"capitula","hemispherical","5-merous",NA,NA,"dimorphic",NA,"narrowly campanulate",NA,"white",NA,NA,NA,NA,NA,"",550,NA,NA,NA,NA,NA,0.225,0.035,0.585,0.115,NA,1.5,55.1724137931034,1
"Cojoba","Cojoba_escuintlensis","trees",NA,"capitula","globose or subclavate","4-5-merous",NA,NA,"homomorphic",NA,"cylindric-campanulate",NA,NA,NA,"present",NA,NA,NA,"",1000,NA,0.2875,2.5,0.05,NA,0.1125,0.02,0.7,0.1125,NA,1.15,44.8275862068966,2
"Cojoba","Cojoba_sophorocarpa","Shrubs or trees",NA,"capitula","globose or obovoid","(5-)6—-7-merous",NA,NA,NA,NA,"cylindric","66",NA,NA,"present",NA,"present",NA,"",1000,0.3,NA,7.4,NA,NA,0.375,0.04,1.3,0.125,NA,2,44.8275862068966,2
"Cylicodiscus","Cylicodiscus_gabunensis","tree","","","","","","","","","","","","yes","","","","","",7800,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,31.0344827586207,1
"Desmanthus","Desmanthus_pumilus","herb","","head","","","","","","","","8","white, pale pink","no","","","","","",60,NA,NA,27.5,NA,NA,1.85,0.25,2.45,NA,NA,6.15,20.6896551724138,3
"Desmanthus","Desmanthus_virgatus","herb","","head borne on peduncle","","5","","","","","","5","white","no","","","","","",150,6.5,NA,29,NA,NA,1.8,0.6,2.75,NA,NA,4.6,17.2413793103448,3
"Desmanthus","Desmanthus_painteri","herb","","head borne on peduncle, very short spike","","5","","","","","","9","white","no","","","","","",70,9,NA,37.5,NA,NA,1.8,0.375,2.5,NA,NA,5.5,17.2413793103448,3
"Ebenopsis","Ebenopsis_confinis","shrubs and treelets",NA,"capitula or capituliform spikes",NA,"5- or 5-7-merous",NA,NA,NA,NA,"campanulate","32",NA,NA,"present",NA,NA,NA,"",190,0.6,NA,0.55,0.55,NA,0.14,0.0225,0.37,0.125,0.08,NA,48.2758620689655,3
"Ebenopsis","Ebenopsis_ebano","trees",NA,"spikes",NA,"5- merous",NA,NA,NA,NA,"hemispherical",NA,NA,NA,"present",NA,NA,NA,"",500,3.25,NA,3.25,NA,NA,0.115,0.03,0.395,0.125,0.095,NA,55.1724137931034,3
"Entada","Entada_goetzei","shrub, tree","","raceme","spiciform raceme","","","","","","","","","","","","","","",550,125,NA,NA,1,NA,1.625,NA,2.75,NA,NA,4.5,20.6896551724138,4
"Entada","Entada_elephantina","geoxylic suffrutex","","raceme","axillary spiciform raceme usually confined to the lower part of the stem","","","","","","","","","","","","","","",NA,60,NA,NA,1.5,NA,1.75,NA,3.25,NA,NA,6.5,24.1379310344828,4
"Enterolobium","Enterolobium_cyclocarpum","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,1
"Faidherbia","Faidherbia_albida","tree","","spike","slender","5","","","","","","","","","","","","","",3000,90,NA,NA,NA,NA,1.35,NA,3.25,NA,NA,NA,27.5862068965517,1
"Falcataria","Falcataria_falcata","tree","","spikes","panicle of spikes","5 (6)","","","","","","84","","","","","","","",2500,NA,NA,NA,0,NA,2.55,27.5,6.6,3.2,1.75,16,13.7931034482759,3
"Gagnebina","Gagnebina_commersoniana","shrub","","spike","solitary or paired spikes","","","","","","","10","","yes","","","","","",300,NA,NA,7.5,NA,NA,0.4,NA,1.3,NA,NA,2.4,24.1379310344828,1
"Gretheria","Gretheria_campylacantha","arborescent shrubs and trees",NA,"capitula",NA,"5-merous",NA,NA,NA,NA,"deeply campanulate",NA,NA,NA,"present",NA,NA,NA,"",800,NA,NA,3,NA,NA,0.295,0.06,0.5,0.09,NA,1.025,58.6206896551724,2
"Havardia","Havardia_mexicana","trees",NA,NA,NA,"5-merous",NA,NA,"homomorphic",NA,"shallowly campanulate",NA,NA,NA,"present",NA,NA,NA,"",1000,NA,NA,1,0.205,0.0325,0.155,0.05,0.38,0.19,0.095,1,48.2758620689655,3
"Havardia","Havardia_pallens","trees or bushy treelets",NA,"capitula","hemispherical","5(randomly 6)-merous",NA,NA,NA,NA,"shallowly campanulate or hemispherical",NA,NA,NA,"present",NA,NA,NA,"",550,NA,NA,NA,NA,NA,0.19,0.035,0.465,0.16,0.085,1.25,55.1724137931034,3
"Havardia","Havardia_albicans","trees",NA,"capitula",NA,"4-merous",NA,NA,NA,NA,"subhemispherical",NA,"white",NA,"present",NA,NA,NA,"",825,NA,NA,0.95,NA,NA,0.185,0.0325,NA,NA,NA,1.125,62.0689655172414,3
"Hesperalbizia","Hesperalbizia_occidentalis","frees",NA,"capitula",NA,"5-merous",NA,NA,"present",NA,"campanulate",NA,"white",NA,"present",NA,NA,NA,"",2500,NA,NA,4.75,NA,NA,0.275,0.055,0.925,0.19,NA,2.2,51.7241379310345,1
"Hydrochorea","Hydrochorea_acreana","tree","","umbiliform racemes","corymbose-paniculate or umbiliform racemes","","","","","","","10(12)","","","","","","","",2750,NA,NA,2.65,0.5,NA,0.325,0.42,0.55,0.75,0.085,1.375,10.3448275862069,1
"Inga","Inga_flexuosa","tree","","spike","axillary, a congested spike","","","","","","","70","","","","","","","",NA,NA,NA,35,NA,NA,NA,1,NA,2,NA,10,27.5862068965517,30
"Inga","Inga_latipes","tree",NA,"spike",NA,NA,NA,NA,NA,NA,NA,"45",NA,NA,NA,"present",NA,NA,"",3000,1.25,NA,4,0.05,NA,NA,NA,NA,0.15,NA,0.8,65.5172413793103,30
"Inga","Inga_edulis","Tree",NA,"spike",NA,NA,NA,NA,NA,NA,"tubular","55","white",NA,NA,NA,"present",NA,"",4000,2.75,NA,3,NA,NA,0.8,0.15,NA,0.3,NA,2.25,55.1724137931034,30
"Inga","Inga_tonduzii","Tree",NA,"spike",NA,NA,NA,NA,NA,NA,NA,"100","pale cream-coloured",NA,NA,"present","present",NA,"",2500,2.5,NA,2.15,NA,NA,NA,NA,NA,0.45,NA,3,62.0689655172414,30
"Inga","Inga_uraguensis","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,30
"Inga","Inga_chocoensis","tree",NA,"a congested spike",NA,NA,NA,NA,NA,NA,"broadly tubular","85","white",NA,NA,NA,"present",NA,"",2000,2.5,NA,4,NA,NA,0.9,NA,NA,0.45,NA,3.25,58.6206896551724,30
"Inga","Inga_longispica","tree",NA,"spike","congested",NA,NA,NA,NA,NA,"cup-shaped","47",NA,NA,NA,"present","included",NA,"",3000,7.75,NA,2.5,NA,NA,NA,0.035,NA,0.125,NA,0.725,55.1724137931034,30
"Inga","Inga_bella","tree",NA,"umbellate","globose",NA,NA,NA,NA,NA,NA,"160","white",NA,NA,"present","present",NA,"",1000,NA,NA,1.1,0.4,NA,NA,0.35,NA,0.3,NA,2.6,55.1724137931034,30
"Inga","Inga_gracilior","tree",NA,"spike",NA,NA,NA,NA,NA,NA,"tubular to narrowly funnel-shaped","30","white",NA,NA,NA,"present",NA,"",1500,0.45,NA,1.95,NA,NA,NA,0.075,NA,0.125,NA,0.85,58.6206896551724,30
"Inga","Inga_heterophylla","tree",NA,"raceme or umbel",NA,NA,NA,NA,NA,NA,NA,NA,"white",NA,NA,"present","present",NA,"",2000,0.325,NA,3.1,0.575,NA,NA,NA,NA,0.15,NA,0.7,62.0689655172414,30
"Inga","Inga_longipes","tree",NA,"spike",NA,NA,NA,NA,NA,NA,"broadly tubular or funnel-shaped","28","white",NA,NA,NA,"present",NA,"",2000,6,NA,15.5,NA,NA,NA,0.25,NA,0.6,NA,6,58.6206896551724,30
"Inga","Inga_calcicola","Tree",NA,"raceme",NA,NA,NA,NA,NA,NA,NA,NA,"white",NA,NA,NA,"present",NA,"",1800,3,NA,5,0.5,NA,NA,NA,NA,0.35,NA,3,65.5172413793103,30
"Inga","Inga_multinervis","Arbor",NA,"spike",NA,NA,NA,NA,NA,NA,"infundibuliformis","65",NA,NA,NA,NA,"present",NA,"",3300,2,NA,5,NA,NA,0.4875,0.0875,0.875,0.175,NA,1.1,55.1724137931034,30
"Inga","Inga_laurina","tree",NA,"spike",NA,NA,NA,NA,NA,NA,NA,NA,"white",NA,NA,"present","present",NA,"",2000,6.5,NA,1.75,NA,NA,NA,NA,NA,0.15,NA,0.85,65.5172413793103,30
"Inga","Inga_interrupta","Tree",NA,"spikate",NA,NA,NA,NA,NA,NA,"tubular",NA,"white",NA,NA,NA,"present",NA,"",2000,2.15,NA,3.85,NA,NA,NA,0.07,NA,0.15,NA,1.25,62.0689655172414,30
"Inga","Inga_disticha","Small tree",NA,"spike",NA,NA,NA,NA,NA,NA,"tubular","75","white",NA,NA,"present","present",NA,"",1300,5.25,NA,1.85,NA,NA,0.6,0.225,NA,0.35,NA,2.25,51.7241379310345,30
"Inga","Inga_pilosula","Small tree",NA,"spike",NA,NA,NA,NA,NA,NA,"tubular","25",NA,NA,NA,"present","present",NA,"",550,1.75,NA,5.5,0.05,NA,NA,0.125,NA,0.2,NA,2.25,55.1724137931034,30
"Inga","Inga_macrophylla","tree","","spike","axillary, often clustered around the apex inthe axils of undeveloped leaves, solitary or paired, a congested spike","","","","","","","65","","","","","","","",NA,NA,NA,50,NA,NA,NA,6,NA,4.5,NA,30,27.5862068965517,30
"Inga","Inga_chrysantha","tree","","spike","axillary and clustered at the shoot apex in the axils of undeveloped leaves, a congested spike","","","","","","","40","","","","","","","",NA,NA,NA,50,NA,NA,NA,NA,NA,3.25,NA,15,31.0344827586207,30
"Inga","Inga_venusta","Tree",NA,"a congested spike",NA,NA,NA,NA,NA,NA,NA,"60","bright yellow",NA,NA,NA,"present",NA,"",4000,1.9,NA,3.5,0.05,NA,1.15,NA,NA,0.4,NA,2,58.6206896551724,30
"Inga","Inga_stenoptera","tree",NA,"spike",NA,NA,NA,NA,NA,NA,"tubular to narrowly funnel-shaped","40","cream-coloured",NA,NA,"present","present",NA,"",1750,1.25,NA,3.75,NA,NA,NA,0.125,NA,0.225,NA,1.5,55.1724137931034,30
"Inga","Inga_adenophylla","tree","","spike","axillary, a congested spike","","","","","","","45","","","","","","","",NA,NA,NA,60,0.25,NA,NA,2,NA,3.5,NA,25,24.1379310344828,30
"Inga","Inga_pseudoinvolucrata","Tree",NA,"capitate",NA,NA,NA,NA,NA,NA,"narrowly funnel-shaped","50","white",NA,NA,"present","present",NA,"",2000,0.25,NA,2.75,NA,NA,NA,0.1,NA,0.25,NA,2,55.1724137931034,30
"Inga","Inga_calderonii","Tree",NA,"a congested spike",NA,NA,NA,NA,NA,NA,"tubular","120","white",NA,NA,"present","present",NA,"",1500,2.25,NA,5.75,NA,NA,NA,0.45,NA,0.35,NA,2.5,55.1724137931034,30
"Inga","Inga_virgultosa","Small tree",NA,"umbellate","globose",NA,NA,NA,NA,NA,"cup-shaped","30","white",NA,NA,"present",NA,NA,"",1500,0.15,NA,0.75,0.9,NA,NA,0.025,NA,0.125,NA,0.95,51.7241379310345,30
"Inga","Inga_lallensis","tree",NA,"umbellate","globose",NA,NA,NA,NA,NA,"cup-shaped","40",NA,NA,NA,NA,"present",NA,"",800,0.4,NA,5.5,0.275,NA,NA,0.0375,NA,0.125,NA,0.85,55.1724137931034,30
"Inga","Inga_acuminata","tree","small stilt roots","spike",NA,NA,NA,NA,NA,NA,NA,"35","white",NA,NA,NA,"present","often present","",1500,0.45,NA,7,NA,NA,0.65,NA,NA,0.25,NA,1.35,55.1724137931034,30
"Inga","Inga_brachyrhachis","tree",NA,"racemose",NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,"present","present",NA,"",1200,0.6,NA,0.35,0.1,NA,NA,NA,NA,0.15,NA,0.95,62.0689655172414,30
"Inga","Inga_nobilis",NA,NA,"spike, capitulum or umbel","globose, clavate or unexpanded",NA,NA,NA,NA,NA,NA,"35",NA,NA,NA,"present","present",NA,"",NA,1.1,NA,4.25,0.85,NA,NA,NA,NA,0.175,NA,1.6,62.0689655172414,30
"Inga","Inga_tenuistipula","tree",NA,"capitate",NA,NA,NA,NA,NA,NA,NA,"50","white or pink",NA,NA,"present","present","usually present","",1500,0.4,NA,8.5,0.1,NA,NA,NA,NA,0.275,NA,1.6,55.1724137931034,30
"Jacqueshuberia","Jacqueshuberia_brevipes","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,NA
"Jacqueshuberia","Jacqueshuberia_loretensis","Tree","","Terminal","compound-racemose","","","","","","","","red","","","","","","",2000,NA,NA,NA,21.5,NA,5.25,NA,8.25,NA,NA,40.5,24.1379310344828,NA
"Jupunba","Jupunba_turbinata",NA,NA,"capitulum",NA,NA,NA,NA,"yes",NA,"turbinate",NA,NA,NA,NA,NA,NA,NA,"",NA,1.5,NA,12,0.15,NA,0.4,NA,0.65,NA,NA,NA,68.9655172413793,4
"Jupunba","Jupunba_zolleriana","frees m",NA,"capituliform racemes",NA,"5-merous",NA,NA,"yes",NA,"turbinate-campanulate",NA,"whitish",NA,"present",NA,NA,NA,"",NA,0.9,NA,7.5,0.245,NA,0.215,0.04,0.62,0.24,0.15,NA,48.2758620689655,4
"Jupunba","Jupunba_leucophylla","arborescent shrubs, treelets, ot trees",NA,"capitula",NA,"5-merous",NA,NA,"yes",NA,NA,NA,"pink or reddish",NA,NA,NA,"present",NA,"",1300,NA,NA,NA,0.095,NA,NA,NA,0.475,0.115,NA,0.525,62.0689655172414,4
"Jupunba","Jupunba_macradenia","trees",NA,"capituliform racemes",NA,"5-merous",NA,NA,"yes",NA,"campanulate",NA,"white",NA,"present",NA,NA,NA,"",2250,NA,NA,8.5,0.215,0.03,0.365,0.08,0.825,0.23,0.155,2.15,41.3793103448276,4
"Kanaloa","Kanaloa_kahoolawensis","shrub","","capitulum","globose","5","","yes","yes","yes","obconic","10","white","yes","","","","","",112.5,NA,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4827586206897,1
"Lemurodendron","Lemurodendron_capuronii","tree","","spike","panicle","","","","","","","10","","yes","","","","","",3000,NA,NA,NA,NA,NA,1.375,NA,3.65,NA,NA,5.75,27.5862068965517,1
"Leucaena","Leucaena_trichodes","tree, shrub","","capitula","","5","","","","","","10","creamy white","","","","","","",650,NA,10,14,NA,NA,1.95,NA,2.8,NA,NA,5.15,20.6896551724138,3
"Leucaena","Leucaena_cuspidata","tree","","capitula","","5","","","","","","10","pale creamy white","","","","","","",300,NA,14.5,31,NA,NA,2.75,NA,4,NA,NA,6.5,20.6896551724138,3
"Leucaena","Leucaena_lanceolata","tree","","capitula","","5","","","","","","10","white, cream-white","","","","","","",1000,NA,30,11.5,NA,NA,3.9,NA,5.05,NA,NA,8.5,20.6896551724138,3
"Lysiloma","Lysiloma_watsonii","tree","","capituliform, suborbicular","","","","","","","","","","","","","","","",NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9310344827586,1
