"filename","created_at","taxon","taxon_original","method","habit","root_system","height_min","height_low","height_high","height_max","height_unit","inflorescence_type","inflorescence_shape","inflorescence_length_min","inflorescence_length_low","inflorescence_length_high","inflorescence_length_max","inflorescence_length_unit","inflorescence_width_min","inflorescence_width_low","inflorescence_width_high","inflorescence_width_max","inflorescence_width_unit","inflorescence_peduncle_length_min","inflorescence_peduncle_length_low","inflorescence_peduncle_length_high","inflorescence_peduncle_length_max","inflorescence_peduncle_length_unit","flower_merosity","pedicel_length_min","pedicel_length_low","pedicel_length_high","pedicel_length_max","pedicel_length_unit","pedicel_width_min","pedicel_width_low","pedicel_width_high","pedicel_width_max","pedicel_width_unit","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","calyx_length_min","calyx_length_low","calyx_length_high","calyx_length_max","calyx_length_unit","calyx_lobe_length_min","calyx_lobe_length_low","calyx_lobe_length_high","calyx_lobe_length_max","calyx_lobe_length_unit.","corolla_length_min","corolla_length_low","corolla_length_high","corolla_length_max","corolla_length_unit","corolla_lobe_length_min","corolla_lobe_length_low","corolla_lobe_length_high","corolla_lobe_length_max","corolla_lobe_length_unit","corolla_lobe_width_min","corolla_lobe_width_low","corolla_lobe_width_high","corolla_lobe_width_max","corolla_lobe_width_unit","stamen_count","filament_length_min","filament_length_low","filament_length_high","filament_length_max","filament_length_unit","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","obs"
"Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0182.txt","2025-10-02T18:37:17.071226","Calliandra_comosa","Calliandra comosa","automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0008.txt","2025-10-02T18:44:21.731954","Hydrochorea_leucocalyx","Balizia leucocalyx","automatic","trees",NA,NA,12,33,NA,"m","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","","","","",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0014.txt","2025-10-02T18:48:13.147735","Jupunba_longipedunculata","Abarema longipedunculata","automatic","shrubs and srees",NA,2,NA,20,NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,12.5,NA,"cm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"narrowly campanulate",5,NA,7.3,NA,"mm",0.6,NA,"1.8",NA,"mm",NA,8,9.5,NA,"mm",NA,2,NA,NA,"mm",NA,NA,NA,NA,NA,"36",NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0020.txt","2025-10-02T18:51:58.664616","Jupunba_ganymedea","Abarema ganymedea","automatic","trees",NA,NA,NA,20,NA,"m","capitula",NA,NA,NA,10,NA,"mm",NA,12,25,NA,"mm",1.5,NA,4,NA,"cm","S-merous",NA,0.5,0.8,NA,"mm",NA,NA,NA,NA,NA,NA,"present","present",NA,NA,NA,1.1,1.1,NA,"mm",0.3,0.3,"0.5",0.5,"mm",NA,4,4.2,NA,"mm",NA,1.7,1.7,NA,"mm",NA,0.7,0.7,NA,"mm","10",NA,NA,15.5,NA,"mm",NA,NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0032.txt","2025-10-02T18:59:28.591799","Jupunba_adenophora","Abarema adenophora","automatic","Macrophyllidious trees",NA,NA,12,30,NA,"m","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","","","","",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0040.txt","2025-10-02T19:04:31.505427","Jupunba_cochleata","Abarema cochleata","automatic","tree",NA,2,3,NA,25,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cm","5-merous",0.8,1,2.8,NA,"mm",NA,NA,NA,NA,NA,NA,NA,"yes",NA,"turbinate-campanulate, obtusely 5-angulate",1.8,1.8,2.4,2.8,"mm",0.25,0.25,"0.5",0.5,"mm",NA,4.5,5.4,6.3,"mm",NA,1.2,1.4,1.9,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,"present",NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0041.txt","2025-10-02T19:05:07.598048","Jupunba_cochleata","Abarema cochleata var. cochleata","automatic","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0044.txt","2025-10-02T19:07:00.606874","Punjuba_lehmannii","Abarema lehmannii","automatic","Macrophyllidious srees",NA,NA,7,12,NA,"m","spikes",NA,"5",NA,13,NA,"cm",NA,NA,NA,NA,NA,NA,1.5,3.5,NA,"cm","5-merous",NA,NA,0.3,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"campanulate",NA,1.2,1.5,NA,"mm",0.2,NA,"0.8",NA,"mm",4,4.5,7,NA,"mm",0.8,NA,1.5,NA,"mm",0.55,NA,1.1,NA,"mm","40",NA,NA,NA,NA,"mm",NA,NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0050.txt","2025-10-02T19:10:50.120847","Jupunba_turbinata","Abarema turbinata","automatic",NA,NA,NA,NA,NA,NA,NA,"capitulum",NA,NA,1,2,NA,"cm",NA,NA,NA,NA,NA,NA,7,17,NA,"cm",NA,NA,NA,1.5,NA,"mm",NA,NA,NA,NA,NA,NA,NA,"yes",NA,"turbinate",3.5,3.5,4.5,4.5,"mm",NA,NA,NA,NA,NA,NA,6.5,6.5,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0059.txt","2025-10-02T19:16:32.780607","Jupunba_oppositifolia","Abarema oppositifolia","automatic","trees",NA,NA,3,12,NA,"m","capitula",NA,NA,3,5,NA,"mm",NA,NA,NA,NA,NA,3,3,9,9,"cm","5-merous",1,1,2,2,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,3.4,4.2,4.2,"mm",0.4,0.4,"0.7",0.7,"mm",NA,6,7.2,NA,"mm",NA,2.4,2.9,NA,"mm",NA,1.2,1.5,NA,"mm","47",NA,12,15,NA,"mm",NA,NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0061.txt","2025-10-02T19:17:44.316474","Jupunba_abbottii","Abarema abbottii","automatic","trees",NA,4,NA,12,NA,"m","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","","","","",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0062.txt","2025-10-02T19:18:18.466183","Abarema_levelii","Abarema levelii","automatic","trees",NA,NA,8,10,NA,"m","capitula",NA,NA,4,10,NA,"cm",NA,NA,NA,NA,NA,NA,20,33,NA,"mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"campanulate",3,3,3.5,NA,"mm",NA,NA,"0.5",NA,"mm",11.5,11.5,15.5,15.5,"mm",NA,4,4,NA,"mm",NA,1.3,1.3,NA,"mm","30",NA,NA,NA,NA,NA,"white",NA,"present",NA,"present",NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0069.txt","2025-10-02T19:22:32.702167","Hesperalbizia_occidentalis","Hesperalbizia occidentalis","automatic","frees",NA,NA,20,NA,30,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,6.5,NA,"cm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,"campanulate",2.2,2.2,3.3,3.3,"mm",NA,0.5,"0.6",NA,"mm",8.5,8.5,10,10,"mm",1,1,2.8,2.8,"mm",NA,NA,NA,NA,NA,NA,NA,20,24,NA,"mm","white",NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0070.txt","2025-10-02T19:23:10.776031","Pseudosamanea_guachapele","Pseudosamanea guachapele","automatic","trees",NA,8,NA,25,30,"m","capitula",NA,NA,NA,NA,NA,NA,2,NA,5,NA,"mm",2.5,3,7.5,8.5,"cm","5-merous or randomly 6-7-merous",11,11,22,NA,"mm",0.3,0.3,0.5,0.65,"mm",NA,NA,"the fls strongly heteromorphic",NA,"narrowly campanulate or vase-shaped from turbinate base, cylindrocampanulate",4,4.5,7,NA,"mm",0.6,0.8,"1.9",NA,"mm",NA,9.5,11,NA,"mm",NA,1,3,NA,"mm",NA,NA,NA,NA,NA,NA,24,30,42,NA,"mm","white",NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0072.txt","2025-10-02T19:24:24.798126","Samanea_saman","Samanea saman","automatic","tree",NA,NA,25,30,50,"m","capitula","hemispherical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4,8.5,NA,"cm","5-9-merous",1,1,3.5,5.5,"mm",0.3,0.3,0.6,0.7,"mm",NA,NA,"yes",NA,"slenderly vase-shaped",4.4,4.8,7,7.8,"mm",0.6,NA,"1.3",NA,"mm",9,9,13,13.5,"mm",1.4,1.4,3.7,NA,"mm",1,1,1.7,NA,"mm",NA,26,28,37,42,"mm","white proximally, pink or red distally",NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0075.txt","2025-10-02T19:26:15.085810","Blanchetiodendron_blanchetii","Blanchetiodendron blanchetii","automatic","tree",NA,8,0,12,NA,"m","capitula",NA,"2",2,6,NA,"cm",NA,NA,NA,NA,NA,NA,8,13,NA,"mm","5-merous",1.5,NA,6,NA,"mm",0.2,NA,0.5,NA,"mm",NA,NA,"yes",NA,"turbinate-campanulate or somewhat urn-shaped",2,2,3,3,"mm",0.1,0.1,"0.25",0.25,"mm",NA,4,5,NA,"mm",NA,1.4,2.2,NA,"mm",NA,1,1.2,NA,"mm",NA,NA,11,16,NA,"mm","white",NA,"present","present",NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0088.txt","2025-10-02T19:34:32.248574","Chloroleucon_foliolosum","Chloroleucon foliolosum","automatic","arborescent shrubs",NA,NA,3,8,10,"m","capitula","hemispherical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,19,NA,"mm","5- merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,"campanulate",0.9,0.9,1.7,1.7,"mm",0.1,0.1,"0.2",0.2,"mm",NA,3.2,5.2,NA,"mm",0.7,NA,2,NA,"mm",0.4,NA,1,NA,"mm",NA,NA,10,14.5,NA,"mm",NA,NA,NA,NA,"present",NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0100.txt","2025-10-02T19:42:12.527084","Gretheria_campylacantha","Havardia campylacanthus","automatic","arborescent shrubs and trees",NA,2,NA,14,NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,2,4,NA,"cm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deeply campanulate",NA,2.5,3.4,NA,"mm",NA,0.4,"0.8",NA,"mm",NA,5,5,NA,"mm",NA,0.8,1,NA,"mm",NA,NA,NA,NA,NA,NA,NA,9,11.5,NA,"mm",NA,NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0101.txt","2025-10-02T19:42:50.217199","Havardia_pallens","Havardia pallens","automatic","trees or bushy treelets",NA,2,NA,9,12,"m","capitula","hemispherical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mm","5(randomly 6)-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shallowly campanulate or hemispherical",NA,NA,1.9,NA,"mm",NA,0.2,"0.5",NA,"mm",3.5,4,5.3,6.3,"mm",1,1.2,2,NA,"mm",0.6,NA,1.1,NA,"mm",NA,NA,10.5,14.5,NA,"mm",NA,NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0102.txt","2025-10-02T19:43:29.779132","Havardia_albicans","Havardia albicans","automatic","trees",NA,NA,4.5,12,NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12,NA,"mm","4-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subhemispherical",1.7,1.7,2,2,"mm",NA,0.25,"0.4",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12.5,NA,"mm","white",NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0108.txt","2025-10-02T19:47:24.700533","Painteria_elachistophylla","Painteria elachistophylla","automatic","shrubs",NA,NA,3,12,25,"dm","capitula or short spikes",NA,NA,NA,NA,NA,"mm",NA,NA,NA,NA,"mm",0,NA,3,7,"mm","5—7-merous",0,NA,3,7,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"campanulate or hemispherical",0.9,0.9,1.5,1.5,"mm",NA,0.1,"0.35",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70",NA,NA,NA,NA,NA,"white",NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0122.txt","2025-10-02T19:56:21.826260","Macrosamanea_simabifolia","Macrosamanea simabifolia","automatic","shrubs",NA,2,NA,6,8,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mm",2,2.5,5,NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cylindric or slightly dilated above middle",5,5,6.5,6.5,"mm",0.8,0.8,"1.3",1.3,"mm",13,13,22,22,"mm",2,2,4,4,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0129.txt","2025-10-02T20:00:52.340961","Pseudalbizzia_tomentosa","Albizia tomentosa","automatic","trees",NA,2,3,25,30,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,26,NA,"mm","5-merous",0,0.3,0.8,NA,"mm",0.3,NA,0.6,NA,"mm",NA,NA,"yes",NA,"turbinate, broadly campanulate",1.4,1.4,3,3,"mm",0.2,0.2,"0.6",0.6,"mm",3,4,5,5.7,"mm",1.1,1.1,1.8,1.8,"mm",NA,NA,NA,NA,"mm",NA,NA,9.5,17,NA,"mm","white",NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0130.txt","2025-10-02T20:01:30.917705","Pseudalbizzia_sinaloensis","Albizia sinaloensis","automatic","trees",NA,NA,NA,20,NA,"m","capitula","subhemispherical",NA,1.5,NA,NA,"mm",NA,NA,NA,NA,NA,NA,10,35,NA,"mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"homomorphic",NA,"turbinate-campanulate",NA,2,2,NA,"mm",NA,0.5,"0.5",NA,"mm",NA,3.8,3.8,NA,"mm",NA,0.9,1,NA,"mm",NA,0.7,0.7,NA,"mm","36",NA,5,5.5,NA,"mm",NA,NA,NA,"present",NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0138.txt","2025-10-02T20:06:45.492122","Pseudosamanea_carbonaria","Albizia carbonaria","automatic","Trees",NA,NA,4,6,30,"m","capitula",NA,NA,11,16,NA,"mm",NA,NA,NA,NA,NA,NA,1.8,4.6,NA,"cm","S-merous",1.5,NA,4,NA,"mm",NA,NA,NA,NA,NA,NA,NA,"yes",NA,"narrowly campanulate",2.3,2.5,3.5,NA,"mm",0.6,0.6,"1.2",1.2,"mm",4,4.4,6.4,NA,"mm",1.1,1.4,2.1,NA,"mm",NA,NA,NA,NA,NA,NA,NA,13,16.5,NA,"mm","white",NA,"present","present",NA,NA,"",NA
