taxon,taxon_coded,filename,created_at,phylogeny,habit,root_system,height_min,height_low,height_high,height_max,height_unit,extrafloral_nectaries_presence,extrafloral_nectaries_location,extrafloral_nectary_length_min,extrafloral_nectary_length_low,extrafloral_nectary_length_high,extrafloral_nectary_length_max,extrafloral_nectary_length_unit,extrafloral_nectary_width_min,extrafloral_nectary_width_low,extrafloral_nectary_width_high,extrafloral_nectary_width_max,extrafloral_nectary_width_unit,extrafloral_nectary_shape,inflorescence_type,inflorescence_shape,inflorescence_length_min,inflorescence_length_low,inflorescence_length_high,inflorescence_length_max,inflorescence_length_unit,inflorescence_width_min,inflorescence_width_low,inflorescence_width_high,inflorescence_width_max,inflorescence_width_unit,inflorescence_organization,inflorescence_peduncle_length_min,inflorescence_peduncle_length_low,inflorescence_peduncle_length_high,inflorescence_peduncle_length_max,inflorescence_peduncle_length_unit,inflorescence_peduncle_width_min,inflorescence_peduncle_width_low,inflorescence_peduncle_width_high,inflorescence_peduncle_width_max,inflorescence_peduncle_width_unit,flower_merosity,pedicel_length_min,pedicel_length_low,pedicel_length_high,pedicel_length_max,pedicel_length_unit,pedicel_width_min,pedicel_width_low,pedicel_width_high,pedicel_width_max,pedicel_width_unit,calyx_shape,calyx_length_min,calyx_length_low,calyx_length_high,calyx_length_max,calyx_length_unit,calyx_lobe_length_min,calyx_lobe_length_low,calyx_lobe_length_high,calyx_lobe_length_max,calyx_lobe_length_unit,corolla_shape,corolla_length_min,corolla_length_low,corolla_length_high,corolla_length_max,corolla_length_unit,corolla_lobe_length_low,corolla_lobe_length_high,corolla_lobe_length_max,corolla_lobe_length_unit,corolla_lobe_width_min,corolla_lobe_width_low,corolla_lobe_width_high,corolla_lobe_width_max,corolla_lobe_width_unit,stamen_count,filament_length_min,filament_length_low,filament_length_high,filament_length_max,filament_length_unit,filament_color,style_length_min,style_length_low,style_length_high,style_length_max,style_length_unit
Mimosa uribeana,Mimosa_uribeana,Barneby_1991_Sensitivae_Censitae_treatment_0011.txt,"2025-07-09T10:55:32,423",0,vines,,,,,,,present,"Mid-petiole, at tip of the primary rachis and of each pinna",,,1,,mm,,2,3,,mm,shallowly cupular,capitula,,,,,,,,4,4,,mm,spiciform or perhaps paniculate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,mm,,,,,,,,,,,,4,4,,mm,white,,,,,
Mimosa watsonii,Mimosa_watsonii,Barneby_1991_Sensitivae_Censitae_treatment_0012.txt,"2025-07-09T10:56:44,988",1,high-climbing vines,,,,,,,present,"leaf-stalks, shortly above pulvinus, interpinnal segments",0.5,0.7,1.4,,mm,0.5,0.7,1.4,,mm,squatly tub-shaped,capitula,globose,,3.5,5.5,,mm,,3.5,5.5,,mm,panicle,4,4,15,15,mm,,,,,,4-merous,,,,,,,,,,,campanulate,0.5,0.5,1,1,mm,,,,,,turbinate,,1.7,2.7,,mm,0.8,1.2,,mm,,0.65,0.9,,mm,8,,4,5.5,,mm,white,,,,,
Mimosa watsonii var. watsonii,Mimosa_watsonii_watsonii,Barneby_1991_Sensitivae_Censitae_treatment_0013.txt,"2025-07-09T10:58:03,734",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa watsonii var. recordii,Mimosa_watsonii_recordii,Barneby_1991_Sensitivae_Censitae_treatment_0014.txt,"2025-07-09T10:59:16,133",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa guanchezii,Mimosa_guanchezii,Barneby_1991_Sensitivae_Censitae_treatment_0015.txt,"2025-07-09T11:00:32,932",0,vines,,,3,,,m,present,"leaf-stalk, near base of petiole, below distal lft-pair of most pinnae",,0.5,0.6,,mm,0.8,,1.5,,mm,drum-shaped,capitula,globose,,,,,,2.5,2.5,3,3,mm,paniculate,,5,7,,mm,,,,,,4-merous,,,,,,,,,,,campanulate,,0.6,0.7,,mm,,,,,,,,1.5,1.5,,mm,0.5,0.6,,mm,,,,,,8,,,,,,white,,,,,
Mimosa rufescens,Mimosa_rufescens,Barneby_1991_Sensitivae_Censitae_treatment_0016.txt,"2025-07-09T11:01:57,643",1,Lianas,,,12,25,35,m,present,near base of petiole and near tip of all lf-stks and of most pinna-rachises,,,,,,,,,,,"laterally compressed pyramidal, low-conical or low-mounded",capitula,globose,,,,,,3.5,3.5,4.5,5,mm,paniculate,4,4,9,9,mm,,,,,,5- or 4-merous,,,,,,,,,,,campanulate,0.4,0.5,0.8,,mm,,,,,,turbinate-campanulate,,1.4,2,,mm,0.5,0.9,,mm,,0.35,0.45,,mm,10 or 8,,1,2,,mm,white or creamy-white,,,,,
Mimosa rufescens var. rufescens,Mimosa_rufescens_rufescens,Barneby_1991_Sensitivae_Censitae_treatment_0017.txt,"2025-07-09T11:03:11,367",2,,,,,,,,,,,,,,,,,,,,,capitula,,,1,1.5,,mm,,,,,,,,,,,,,,,,,,,1,1.5,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa rufescens var. amnis-nigri,Mimosa_rufescens_amnisnigri,Barneby_1991_Sensitivae_Censitae_treatment_0018.txt,"2025-07-09T11:04:27,137",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa guilandinae,Mimosa_guilandinae,Barneby_1991_Sensitivae_Censitae_treatment_0019.txt,"2025-07-09T11:05:43,838",1,shrubs and vines,,,1,16,,m,present,"near base of lf-stk, near tip of pinna-rachises",,0.7,1.5,,mm,,2,3.5,,mm,"obesely verruciform, pyramidal, laterally compressed, broad-based, patelliform",capitula,globose,,2.5,5,,mm,,,,,,paniculate,,3,10,12,mm,,,,,,4- or 5-merous,,,,,,,,,,,campanulate,0.4,,1,,mm,,,,,,turbinate,,1.3,2.3,2.5,mm,,1.3,,mm,0.3,,0.5,,mm,8 or 10,,1,2.5,,mm,white or cream-white,,,,,
Mimosa guilandinae var. guilandinae,Mimosa_guilandinae_guilandinae,Barneby_1991_Sensitivae_Censitae_treatment_0020.txt,"2025-07-09T11:07:00,844",2,Sarmentose,,,3,6,,m,present,near base of petiole,,,,,,,,,,,broad-based,,,,,,,,,,,,,,,,,,,,,,,,5-merous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa guilandinae var. spruceana,Mimosa_guilandinae_spruceana,Barneby_1991_Sensitivae_Censitae_treatment_0021.txt,"2025-07-09T11:08:16,854",0,vinelike,,,1,6,,m,present,base of lf-stk,,0.7,1.5,,mm,,2,3.5,,mm,"obesely verruciform, sometimes laterally compressed",,,,,,,,,,,,,,,,,,,,,,,,5-merous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa guilandinae var. duckei,Mimosa_guilandinae_duckei,Barneby_1991_Sensitivae_Censitae_treatment_0022.txt,"2025-07-09T11:09:38,442",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4- or 5-merous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa guilandinae var. extensissima,Mimosa_guilandinae_extensissima,Barneby_1991_Sensitivae_Censitae_treatment_0023.txt,"2025-07-09T11:10:57,717",0,Lianas or shrubs,,,3,16,,m,present,near base of lf-stk,,0.7,1.2,,mm,,1.5,2.5,,mm,mounded,capitula,,,,,,,,,,,,,,,,,,,,,,,4-merous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa guilandinae var. cuatrecasasii,Mimosa_guilandinae_cuatrecasasii,Barneby_1991_Sensitivae_Censitae_treatment_0024.txt,"2025-07-09T11:12:19,212",0,Vines,,,8,12,,m,present,petiole,,1,1.5,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-merous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa guilandinae var. paterata,Mimosa_guilandinae_paterata,Barneby_1991_Sensitivae_Censitae_treatment_0025.txt,"2025-07-09T11:13:36,751",0,,,,,,,,present,leaf-stalk,,0.5,1,,mm,0.6,2,2.5,,mm,elliptic patelliform,capitula,,,3.5,3.5,,mm,,,,,,ample panicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa extensa,Mimosa_extensa,Barneby_1991_Sensitivae_Censitae_treatment_0026.txt,"2025-07-09T11:14:57,338",0,shrubs,,,,,,,present,"leaf-stalk, pinnae",,0.4,0.5,,mm,,1,1.3,,mm,subcircular concave,capitula,,,,,,,5,,,,mm,paniculate,,2.5,11,,mm,,,,,,4- or 5-merous,,0.1,0.5,,mm,,,,,,campanulate,,0.6,1,,mm,,,,,,,,2.6,3,,mm,1,1.5,,mm,,0.6,0.8,,mm,,3,3.5,5,,mm,white,,,,,
Mimosa extensa extensa,Mimosa_extensa_extensa,Barneby_1991_Sensitivae_Censitae_treatment_0027.txt,"2025-07-09T11:16:15,148",0,Sarmentose,,,,,,,,,,,,,,,,,,,,,,2.5,3,6,,cm,1,1.5,3,,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa extensa var. annae,Mimosa_extensa_annae,Barneby_1991_Sensitivae_Censitae_treatment_0028.txt,"2025-07-09T11:17:32,977",0,,,,,,,,,,,,,,,,,,,,,,,,6,10,,cm,,4,6.5,,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa colombiana,Mimosa_colombiana,Barneby_1991_Sensitivae_Censitae_treatment_0029.txt,"2025-07-09T11:18:56,234",1,vines,,,,,,,present,base of petiole and tip of each pinnarachis,,3,5.5,,mm,,1.5,2.5,,mm,patelliform,capitula,globose,,,,,,4,4,5,5,mm,paniculate,,3,11,,mm,,,,,,5- or 6-merous,0.3,,,,,,,,,,campanulate,0.5,0.5,0.8,0.8,mm,,,,,,turbinate,,1.7,2.8,,mm,0.6,1,,mm,,,,,,,,2.5,3,,mm,white,,,,,
Mimosa lawranceana,Mimosa_lawranceana,Barneby_1991_Sensitivae_Censitae_treatment_0030.txt,"2025-07-09T11:20:17,263",0,vines,,,4,5,,m,present,base of lf-stk and apex of each pinna,,,2,,mm,,,,,,obese hemispherical widemouthed,spiciform racemes,,,,,,,3,3,3.5,,mm,paniculate,,,,,,,,,,,4-merous,,0.1,0.1,,mm,,,,,,campanulate,,0.4,0.5,,mm,,,,,,turbinate,,1.6,1.7,,mm,1,1.2,,mm,0.6,0.6,0.7,0.7,mm,8,,2.5,2.5,,mm,cream-white,,,,,
Mimosa lepidophora,Mimosa_lepidophora,Barneby_1991_Sensitivae_Censitae_treatment_0031.txt,"2025-07-09T11:21:35,732",1,arborescent shrubs,,,,5,,m,present,near or below mid-petiole and pinna-rachis,,0.7,1.6,,mm,,,,,,"obese mounded, rather widemouthed, tub shaped",capitula,globose,,,,,,,6,6,,mm,paniculate,,3,9,,mm,,,,,,4-merous,,,,,,,,,,,turbinate-campanulate,0.8,0.8,1.4,1.4,mm,,,,,,narrowly vase-shaped,2.9,2.9,3.5,3.5,mm,1,1.3,1.3,mm,0.9,0.9,0.9,0.9,mm,8,,2,4.5,,mm,,,,,,
Mimosa irrigua,Mimosa_irrigua,Barneby_1991_Sensitivae_Censitae_treatment_0032.txt,"2025-07-09T11:22:50,730",1,shrub,,,3,4,,m,present,leaf-stalks and interfoliolar segments,2,10,23,,mm,,,,,,subcircular depressed urceolate,capitula,globose,,4,5,,mm,,,,,,paniculate,3,3,10,10,mm,,,,,,5-merous,,,3,10,mm,,,,,,campanulate,0.4,0.4,1.2,1.2,mm,0.15,0.15,0.3,0.3,mm,,1.6,1.6,1.8,1.8,mm,0.5,0.6,0.6,mm,,,,,,10,,1,2.5,,mm,whitish yellowing in age,,,,,
Mimosa pithecolobioides,Mimosa_pithecolobioides,Barneby_1991_Sensitivae_Censitae_treatment_0033.txt,"2025-07-09T11:24:08,773",1,arborescent shrubs and round-topped trees,,,2,5,,m,present,"between first pair of pinnae, smaller ones sometimes between succeeding pairs, and less often also between some pairs of Ifts",,0.9,2.3,,mm,,,,,,round or vertically elongate concave,fl-spikes,amentiform,,,,,,4,4,5,5,mm,paniculate,,1.5,3,,cm,,,,,,5-merous,,,,,,,,,,,campanulate,0.6,0.7,1.2,,mm,0.2,0.2,0.4,0.4,mm,,1.7,2,2.5,,mm,0.7,1,1,mm,0.3,0.3,0.45,0.45,mm,10,1.8,1.8,3,3.5,mm,cream-colored,,,,,
Mimosa revoluta,Mimosa_revoluta,Barneby_1991_Sensitivae_Censitae_treatment_0034.txt,"2025-07-09T11:25:27,200",1,shrubs,,,1,5,,m,present,"ventral groove, petiole",,0.4,1.2,,mm,,,,,,pitted,capitula,globose or ellipsoid,5.5,5.5,11,,mm,5.5,5.5,7,,mm,,1,1.5,4.5,,cm,,,,,,5- or 6-merous,,,,,,,,,,,campanulate,0.6,0.6,1.8,2.2,mm,,,,,,narrowly trumpet-shaped,2.3,2.5,3.3,4.2,mm,0.8,1.4,2.2,mm,0.5,0.5,0.8,0.8,mm,10,3,3,4.5,4.5,mm,,,,,,
Mimosa nothacacia,Mimosa_nothacacia,Barneby_1991_Sensitivae_Censitae_treatment_0035.txt,"2025-07-09T11:26:42,259",1,treelets,,,,3,,m,present,below first pair of pinnae and between the furthest 1-2 pairs ,,1.5,2.5,,mm,,,,,,bell-shaped,capitula,ellipsoid,5,5,6,6,mm,4,4,4.5,4.5,mm,paniculate,,6,11,,mm,,,,,,4-merous,,,,,,,,,,,turbinate-campanulate,0.5,0.5,0.7,0.7,mm,0.1,0.1,0.15,0.15,mm,narrowly turbinate-campanulate,,1.6,2.2,,mm,0.6,0.8,,mm,,0.6,0.8,,mm,8,,4.5,4.5,,mm,white,,,,,
Mimosa townsendii,Mimosa_townsendii,Barneby_1991_Sensitivae_Censitae_treatment_0036.txt,"2025-07-09T11:27:54,863",1,Treelets,,,,,,,present,"tip of leaf-stalk, leaves, leaf-stalk below the first pair of leaflets",,,,,,,,,,,depressed circular,spikes,,8,8,15,15,mm,4,4,4,4,mm,paniculate,,1,1.5,,cm,,,,,,4-merous,,,,,,,,,,,shallowly campanulate,,0.5,0.5,,mm,,0.1,0.1,,mm,,,2.3,2.3,,mm,1.1,1.1,,mm,,0.75,0.75,,mm,8,,5,5,,mm,white,,,,,
Mimosa rhododactyla,Mimosa_rhododactyla,Barneby_1991_Sensitivae_Censitae_treatment_0037.txt,"2025-07-09T11:29:10,450",1,arborescent shrubs,,,2,7,,m,,,,,,,,,,,,,,spikes,,,,,,,3.5,4,6,,mm,,,,,,,,,,,,4- or 5- or 6-merous,,,,,,,,,,,campanulate or turbinate-campanulate,0.4,0.4,1.7,1.7,mm,0.1,0.1,0.25,0.25,mm,turbinate-campanulate,1.7,1.7,3.3,3.3,mm,0.8,1.1,1.1,mm,,,,,,8,3,3,6,6,mm,pink,,,,,
Mimosa rhododactyla var. benthamii,Mimosa_rhododactyla_benthamii,Barneby_1991_Sensitivae_Censitae_treatment_0038.txt,"2025-07-09T11:30:24,680",1,,,,,,,,,,,,,,,,,,,,,spikes,,,,,,,3.5,4,6,,mm,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.1,1.7,1.7,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa rhododactyla var. rhododactyla,Mimosa_rhododactyla_rhododactyla,Barneby_1991_Sensitivae_Censitae_treatment_0039.txt,"2025-07-09T11:31:35,555",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,1,1,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa rhododactyla var. pringleana,Mimosa_rhododactyla_pringleana,Barneby_1991_Sensitivae_Censitae_treatment_0040.txt,"2025-07-09T11:32:48,986",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,1,1,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa rhododactyla var. malacocarpa,Mimosa_rhododactyla_malacocarpa,Barneby_1991_Sensitivae_Censitae_treatment_0041.txt,"2025-07-09T11:34:01,978",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa costenya,Mimosa_costenya,Barneby_1991_Sensitivae_Censitae_treatment_0042.txt,"2025-07-09T11:35:15,692",1,arborescent shrub,,,5,6,,m,,,,,,,,,,,,,,spikes,,,5,9,,cm,,,,,,paniculate,,,,,,,,,,,5-merous,,,,,,,,,,,campanulate,,1.3,1.6,,mm,,0.2,0.4,,mm,,,2.7,3,,mm,1.3,1.3,,mm,,0.7,0.7,,mm,10,,4.5,5.5,,mm,pink fading whitish,,,,,
Mimosa luisana,Mimosa_luisana,Barneby_1991_Sensitivae_Censitae_treatment_0043.txt,"2025-07-09T11:36:31,346",1,shrubs,,,,3,,m,,,,,,,,,,,,,,fl-spikes,,,,,,,4.5,4.5,5,5,mm,pseudoracemose,,10,24,,mm,,,,,,4- or 5-merous,,,,,,,,,,,shallowly campanulate,,0.3,0.5,,mm,,,,,,turbinate-campanulate constricted into a short basal neck,,2.5,2.7,,mm,1,1,,mm,,,,,,,,5,6.5,,mm,pink,,,,,
Mimosa adenantheroides,Mimosa_adenantheroides,Barneby_1991_Sensitivae_Censitae_treatment_0044.txt,"2025-07-09T11:37:49,769",1,arborescent shrubs,,,1,4,5,m,,,,,,,,,,,,,,capitula,"oblong-ellipsoid, spiciform, cylindric, or amentiform",,8,20,,mm,,6.5,7.5,,mm,pseudoracemose,,1,3.5,,cm,,,,,,5-merous,,,,,,,,,,,campanulate,1.2,1.2,2.1,2.1,mm,0.2,0.2,0.5,0.5,mm,narrowly vaseshaped,,2.6,3.7,,mm,,,,,,,,,,10,,5,7,,mm,whitish or pale pink,,,,,
Mimosa pauli,Mimosa_pauli,Barneby_1991_Sensitivae_Censitae_treatment_0045.txt,"2025-07-09T11:39:06,111",0,shrubs,,,2,,,m,,,,,,,,,,,,,,fl-spikes,,,,,,,7,7,8,8,mm,,,4.5,9.5,,cm,,,,,,5-merous,,,,,,,,,,,campanulate,,1.5,1.9,,mm,,0.4,0.4,,mm,turbinate-campanulate,3.1,3.1,3.5,3.5,mm,1.5,1.5,,mm,,0.7,0.7,,mm,10,,5,5,,mm,purple,,,,,
Mimosa palmeri,Mimosa_palmeri,Barneby_1991_Sensitivae_Censitae_treatment_0046.txt,"2025-07-09T11:40:23,527",1,arborescent shrubs,,,,7,,m,,,,,,,,,,,,,,fl-spikes,,,4,9,,cm,,4.5,6,,mm,pseudoracemose,,,,,,,,,,,5-merous,,,0.2,,mm,,,,,,campanulate or turbinate-campanulate,0.5,0.5,1.3,1.3,mm,0.1,0.1,0.2,0.2,mm,funnelform,2.1,2.1,3,3,mm,1.1,1.3,1.3,mm,,,,,,10,,4,5.5,,mm,pink,,,,,
Mimosa dysocarpa,Mimosa_dysocarpa,Barneby_1991_Sensitivae_Censitae_treatment_0047.txt,"2025-07-09T11:41:38,172",1,shrubs and subshrubs,,,4,9,,dm,,,,,,,,,,,,,,spikes,,,,,,,,5,9,,mm,pseudoracemose,,5,26,,mm,,,,,,4- or 5-merous,,,,,,,,,,,campanulate,1.2,1.6,2.9,3.1,mm,,0.15,0.6,0.7,mm,,2.6,2.8,4.1,,mm,1.1,1.6,1.6,mm,,,,,,8 or 10,,6,8.5,,mm,pink fading whitish,,,,,
Mimosa mollis,Mimosa_mollis,Barneby_1991_Sensitivae_Censitae_treatment_0048.txt,"2025-07-09T11:42:51,171",1,arborescent shrubs,,,,5,,m,,,,,,,,,,,,,,capitula,globose,,,,,,,7,9,,mm,pseudoracemose,2,2.5,4.5,,cm,,,,,,5-merous,,,,,,,,,,,campanulate,0.5,0.5,1,1,mm,,,,,,narrowly vase-shaped,3,3,4.5,4.5,mm,0.8,1.5,1.5,mm,,,,,,10,,5.5,7.5,,mm,pink fading whitish,,,,,
Mimosa guirocobensis,Mimosa_guirocobensis,Barneby_1991_Sensitivae_Censitae_treatment_0049.txt,"2025-07-09T11:44:07,562",0,shrubs,,,1,2,,m,absent,leaf rachis,0.6,,3,,mm,,,,,,,fi-spikes,cylindric,,,,,,,7,9,,mm,,1,1,4,6.5,cm,,,,,,5-merous,,1,4,6.5,cm,,,,,,turbinate,1.7,1.7,2.7,2.7,mm,0.7,0.7,1.4,1.4,mm,turbinate-campanulate,3,3,4.2,4.2,mm,1,1.4,1.4,mm,0.8,0.8,1.1,1.1,mm,10,,,,,mm,light purple,,,,,
Mimosa guatemalensis,Mimosa_guatemalensis,Barneby_1991_Sensitivae_Censitae_treatment_0050.txt,"2025-07-09T11:45:22,624",1,shrubs,,,,1.5,,m,,,,,,,,,,,,,,spikes,amentiform,,6,13.5,,cm,5,5,6,6,mm,pseudoracemose,,,,,,,,,,,4- or 5-merous,,,,,,,,,,,campanulate,1.5,1.5,1.9,1.9,mm,0.2,0.2,0.5,0.5,mm,campanulate-vase-shaped,2.4,2.4,3.5,3.5,mm,1,1.4,1.4,mm,0.65,0.65,0.8,0.8,mm,8 or 10,,4,6.5,,mm,pink,,,,,
